option_id,option_name,option_class,displaces,duty,trl,trl_basis,key_constraints,uk_status,scope,provenance,confidence
electrolytic_hydrogen_refinery_integration,Electrolytic (green) hydrogen integration at refineries,hydrogen,gas,On-site electrolytic hydrogen displacing SMR hydrogen for hydrotreating/hydrocracking,8,10 MW PEM electrolyser operating within Shell Rheinland refinery since 2021 (REFHYNE); 100 MW follow-on planned,Electrolyser capex and power price; small versus total refinery H2 demand; grid capacity,Proposed at UK refineries (e.g. Gigastack/Humber); none operating,sector_specific,[refhyne_2021] REFHYNE start-up of Europe's largest PEM electrolyser at a refinery,medium
ev_fleet_charging_infrastructure,EV fleet depot charging infrastructure,other,diesel; petrol,"Depot/workplace charge points, grid connection upgrades and smart charging enabling electrification of vans, company vehicles and customer fleets",,Mature commercial technology; no formal TRL located,Grid connection capacity and upgrade lead times; dwell-time vs charge-rate matching; enabler only — emissions saving accrues to the vehicle fleet,Fully commercial; supported by Energy Saving Trust fleet guidance and past Workplace Charging Scheme grants,sector_specific,[REF_EST_FLEET] Energy Saving Trust guidance on charging business electric vehicles at depots/workplaces,high
fab_low_grade_heat_recovery,Fab low-grade heat recovery to HVAC/process,efficiency_heat_recovery,gas,"Recover low-grade fab heat (process cooling water, heat-recovery chillers) to heat cleanroom makeup air and offset gas boilers",9,Deployed at scale by Intel (heat-recovery chillers / hot water reuse reported 2023),Low source temperatures (30-40C); hydraulic integration and space in retrofit; largest benefit in new builds,Applicable to UK fabs; no published UK example located,sector_specific,[intel_heat_recovery] Report on Intel using recovered hot water to cut fab natural gas use,medium
fast_firing_low_thermal_mass_kilns,Fast firing / low thermal mass kiln technology,process_change,gas,Roller-hearth/fast-fire kilns and low-mass kiln furniture reducing specific firing energy,9,Commercially deployed for tiles and tableware; identified in BEIS/BCC 2015 ceramics decarbonisation roadmap technology options,Product-dependent (thick heavy-clay ware cannot fast-fire); requires kiln replacement capex at end-of-life; quality control,Commercial in whitewares; limited applicability heavy clay,sector_specific,[R_BEIS_CER2015] BEIS/BCC ceramics sector roadmap 2015 covers kiln efficiency/fast firing options,medium
fermentation_co2_recovery,"Fermentation CO2 recovery, purification and liquefaction",ccs_ccu,purchased_co2,Capture of high-purity biogenic CO2 from fermentation vessels for reuse in carbonation/packaging or sale/sequestration,,No formal TRL located; commercial packaged systems offered by multiple vendors and standard at large breweries per vendor and peer-reviewed craft-brewing literature,"Economics weak at small scale (capture, purification and liquefaction cost); food-grade purity standards; intermittent fermentation profile needs buffering",Commercial at large UK breweries; distillery deployments emerging (Whyte & Mackay with Carbon Capture Scotland; Ardgowan novel-capture pilot),sector_specific,[HW_CO2_VAL] Heriot-Watt study of fermentation CO2 valorisation in craft brewing; Atlas Copco UK brewery CO2 recovery product line; W&M and Ardgowan distillery projects,high
fume_cupboard_vav_sash_management,Fume cupboard VAV and sash management,efficiency_heat_recovery,gas; electricity,"VAV fume cupboard controls, sash-closure programmes and face-velocity optimisation cutting exhaust of conditioned air",9,Commercial controls documented in I2SL Smart Labs Toolkit and university guidance,Containment safety assessment required; benefit depends on cupboard density and existing controls,Widely applied across UK universities and pharma R&D,sector_specific,[smartlabs_toolkit] I2SL Smart Labs Toolkit assessment guidance,high
gas_compression_electric_drive,Electrification of gas compression (electric motor VSD drives replacing gas turbines/engines),electrification,natural_gas,Electric motor-driven export/process compression at gas terminals and installations,9,Electric-drive compression is established technology; NSTA (2024) reports UK electrification projects underway (e.g. Buzzard) — no numeric TRL published,Large grid connection (tens of MW); brownfield conversion cost and downtime; remaining asset life must justify investment,NSTA-driven electrification programme for offshore/onshore assets; draft OGA Plan requires operators to assess electrification,sector_specific,[REF_NSTA24] NSTA workshop and OGA Plan on electrification of UK oil and gas assets,medium
grid_electric_drilling_rig,Grid-powered (highline) and hybrid-battery electric drilling rigs,electrification,diesel,Rig power from grid connection or battery-hybrid gensets instead of diesel-only gensets,9,Ipieca energy efficiency compendium (2023): commercially available with 5-10 years industry experience; up to 100% GHG reduction with low-carbon grid power,Temporary grid connection cost/lead time for short campaigns; rural network capacity; hybrid option only partial abatement,Applicable to limited UK onshore drilling; hybrid gensets deployable now,sector_specific,[REF_IPIECA23] Industry compendium entry specifically on drilling rig electrification/hybridisation,high
h2_boiler,Hydrogen-fired boilers (steam/hot water),hydrogen,gas; oil,"Steam and hot water across standard boiler ranges (incl. package boilers, waste-heat recovery boilers)",7-9,"HyNet Industrial Fuel Switching (Progressive Energy, 2022): waste heat recovery boilers 'already available to fire on 100% Hydrogen... TRL of 9'; package boiler switching demonstrated over 4 weeks in Phase 2; Hy4Heat WP6 (Element Energy, 2019): 'around 25 demonstrations are required to reach TRL 9 across the key costed equipment types'; CCC/Element Energy assumptions log: 100% H2 boilers reach TRL9 ~2025",Low-carbon hydrogen supply and pipeline connection (cluster dependence); NOx control (FGR/staged burners); on-site storage and DSEAR zoning; burner/valve-train retrofit,"Demonstrated (HyNet trials at Unilever Port Sunlight boiler, 2021-22); commercial rollout awaits H2 networks",cross_cutting,[HYNET2022] TRL9 quote for WHRBs and Phase 2 boiler trial; HY4HEAT2019 and CCC_LOG2019 for the wider band,high
h2_dri_eaf,Hydrogen direct reduced iron (H2-DRI) feeding EAF,process_change,coking coal; coke; natural gas,"Ore-based primary ironmaking: shaft-furnace reduction of iron ore with green hydrogen, product (DRI/HBI) melted in EAF, replacing BF-BOF route",7,Green Steel for Europe technology assessment (2021) rates hydrogen direct reduction ~TRL 7; HYBRIT pilot produced hydrogen-reduced sponge iron in 2021 and a demonstration plant is in development at Gallivare,Requires large volumes of low-carbon hydrogen and electricity; DR-grade ore pellets; new-build plant; EAF melting capacity downstream,"No UK DRI plant; Port Talbot and Scunthorpe transitions are scrap-EAF based, but imported H2-DRI/HBI could feed future UK EAFs",sector_specific,[REF_HYBRIT] SSAB/LKAB/Vattenfall HYBRIT pilot results; TRL from Green Steel for Europe assessment (REF_GS4E),high
h2_kiln_furnace_burner,"Hydrogen firing of kilns, furnaces, ovens and dryers (direct-fired)",hydrogen,gas; oil; coal,Direct-fired process heat from ~200C dryers to >1500C melting furnaces and kilns,5-8,"HyNet/Essity IFS feasibility (2022): hydrogen burners and paper drying 'are all deployed commercially, but a combination of the two is currently around TRL 5. By the end of the demonstration... TRL 8'; Glass Futures for BEIS (2019): 'full-scale pure hydrogen firing is at a low TRL'; HyNet Phase 2 demonstrated H2 melting of float glass with 'good heat transfer'; CCC/Element Energy log: H2-fired kiln TRL9 ~2026","H2 supply/cluster location; changed flame radiation and moisture affects product quality (glass, ceramics, lime); NOx; application-specific trials required per Hy4Heat","Demonstration (NSG Pilkington 100% H2 float glass trial 2021; DESNZ IFS Phase 3 demos in glass, lime, cement fuel mix)",cross_cutting,"[ESSITY2022] Explicit TRL5-to-8 statement; GLASSFUTURES2019, HYNET2022, CCC_LOG2019, DESNZ_IFS3_2022 corroborate range",medium
h2_ready_equipment,"Hydrogen-ready boilers and combustion equipment (buy-now, convert-later)",hydrogen,gas,"New natural-gas equipment designed for 'easier, cheaper, and faster conversion' to 100% hydrogen; any boiler/burner duty",,No published TRL located. BEIS call for evidence (2021) states 'there is currently no standardised definition of hydrogen-ready for industrial boiler equipment' and that few sites are taking preparatory steps,Definition/standards immature; residual conversion cost and outage; only valuable where future H2 network credible; risk of stranded 'readiness' premium,Policy development stage; some OEMs market dual-fuel/H2-capable burners,cross_cutting,[BEIS_H2READY2021] CfE pp. on definition and market status; TRL null per rules,medium
hbi_dri_charging_eaf,"DRI/HBI charging to EAF (natural-gas DRI, H2-ready)",process_change,coking coal; coke,"Blending merchant DRI/HBI with scrap in EAF to dilute residuals and enable flat/high-grade products; NG-based today, convertible to hydrogen",9,MIDREX/HYL natural-gas DRI plants and HBI charging to EAFs are commercially operated worldwide (Midrex technical literature),DRI/HBI supply chain and price; NG-DRI still emits CO2 unless converted to H2 or fitted with CCS; melting energy higher than scrap,No UK DRI production; HBI import to future UK EAFs is a recognised quality lever,sector_specific,[REF_MIDREX] Midrex tech article on ore-based metallics and hydrogen pathways for EAF steelmaking,high
heat_pump_above_200,Heat pump concepts >200C,electrification,gas; oil,Steam/process heat above 200C (lab-scale concepts),3-5,"de Boer et al. (2020): 'Development of 3 technologies at a laboratory scale (1 kW to 10 kW), demonstrating the technical feasibility of heat pump concepts to supply heat at temperatures above 200C. (TRL3-5)'",Working fluids and compressor materials at extreme lift; no commercial products; long development timeline,None (laboratory only),cross_cutting,[DEBOER2020] >200C entry of TRL list,medium
heat_pump_below_100,Industrial heat pumps <100C (commercial-class),electrification,gas; oil,"Hot water/low-pressure heat below 100C: washing, pasteurisation, space heat, drying make-up air",9,"de Boer et al. (2020) white paper: 'Heat pump technology is established as the reference (low carbon) technology for heat supply <100C, with at least 500 large scale (1 MW to 10 MW) units installed... (TRL9)'","Needs an accessible low-grade heat source (waste heat, ambient, effluent); grid connection; space for heat exchangers; COP falls with temperature lift",Deployed; multiple UK installs incl. IETF-supported food & drink projects,cross_cutting,"[DEBOER2020] Innovation target/status list, <100C entry",high
heat_recovery_heat_pump,Heat-recovery heat pumps (upgrading waste heat to process temperature),efficiency_heat_recovery,gas; oil,Upgrading 20-70C waste heat to 60-150C useful heat/LP steam,8-9,"de Boer et al. (2020): TRL9 below 100C supply; IEA HPT Annex 58 (2023) documents 18 demonstration cases (food/beverage, refinery, chemicals) and commercial availability up to ~120C in 2024-25 - upper band (to 150C) TRL 8",Reliable waste-heat stream; temperature lift limits COP; grid capacity; integration engineering,Deployed/demonstration (IETF-supported installs in food & drink),cross_cutting,[ANNEX58_2023] Demonstration case studies + availability timeline; DEBOER2020 for <100C TRL9,high
hisarna_smelting_reduction,HIsarna smelting reduction (coke-free ironmaking),process_change,coke; sinter; coking coal,"Direct smelting of ore fines with coal, eliminating coke ovens and sinter plant; ~20% CO2 saving, up to ~80% with CCS on the concentrated CO2 off-gas",5-6,60 kt/y pilot plant operated at Tata Steel IJmuiden through multiple campaigns; no industrial-scale demonstration built (Global Energy Monitor / Tata publications),Requires new-build vessel; scale-up risk; CCS needed for deep abatement; Tata's focus has shifted to DRI-EAF,No UK deployment; originally developed partly by Tata Steel (ex-Corus UK R&D involvement),sector_specific,[REF_HISARNA] Global Energy Monitor summary of HIsarna process status and pilot campaigns,medium
htp_heat_pump_100_150,High-temperature heat pumps 100-150C,electrification,gas; oil,"Low-pressure steam and hot processes 100-150C: evaporation, drying, sterilisation, distillation reboil",8-9,"IEA HPT Annex 58 Task 1 (2023): reviewed HTHP solutions span TRL 4-9, commercially available 'up to 120C' 2024-25 and 'up to 160C' 2025-26; de Boer et al. (2020) frame TRL8 at 100-150C (25 full-scale demos); Agora (2024): industrial heat pumps 'TRL 8 (at very high temperatures and high capacities) - 9'",Grid connection; heat-source temperature/quantity; limited supplier and service network; higher capex than boilers; integration/retrofit engineering,Early commercial/demonstration in UK; supplier products available (steam-generating heat pumps),cross_cutting,[ANNEX58_2023] Executive summary commercial-availability timeline; DEBOER2020 TRL band; AGORA2024 table. de Boer figures are partly framed as demo-count targets - see challenges,high
htp_heat_pump_150_200,Very-high-temperature heat pumps 150-200C,electrification,gas; oil,Medium-pressure steam and process heat 150-200C,6-7,de Boer et al. (2020): 'Up to 5 pilot scale (+/-100 kW) demonstration projects to validate the technical feasibility of industrial heat pumps to supply heat beyond 150C. (TRL6-7)'; Annex 58 (2023) notes 'considerable effort needed to develop and demonstrate' at these temperatures,As 100-150C plus refrigerant/compressor limits at high lift; efficiency and cost unproven at scale; few reference plants,Pilot/prototype internationally; no known UK commercial install,cross_cutting,[DEBOER2020] >150C entry of TRL list; ANNEX58_2023 for status corroboration,medium
hvo_bio_oils_dropin,"HVO and bio-oils as drop-in fuel (mobile plant, standby generation, heating oil replacement)",mobile_plant,oil,"Direct diesel/gas-oil substitute in existing engines, mobile plant and standby boilers/generators; no equipment change",9,"IEA Bioenergy Task 39 (2024): the HVO/HEFA pathway 'has already achieved commercial status' (commercial = top of the report's TRL framework); ETIP Bioenergy factsheet (2020): 'The production of HVO is well-developed at industrial scale'; DESNZ NRMM CfE summary (2025): 'HVO was reported to be an effective drop-in replacement for diesel, without impacting on performance'",Feedstock sustainability/verification (UCO fraud risk raised in CfE responses); price premium over diesel; supply competition with aviation (HEFA),Deployed - widely used on UK construction sites and for standby generation,cross_cutting,[IEABIO_T39_2024] Commercial-status statement mapped to TRL 9 of the report's own framework (Table 2) - mapping noted in challenges; ETIP_HVO2020 and DESNZ_NRMM_CFE2025 corroborate,medium
hydrogen_fuel_cell_haul_truck,Hydrogen fuel-cell/battery hybrid ultra-class haul truck (nuGen-type),mobile_plant,diesel,Zero-emission haulage for large rigid haul trucks (100t+ payload),6-7,Single 2MW prototype (Anglo American nuGen) demonstrated in operational mine environment since 2022; not a commercial product,On-site hydrogen production/refuelling; very high cost; no OEM series product; UK quarry truck sizes smaller than demo class,No UK activity; overseas demonstration only,sector_specific,[REF_ANGLO22] OEM press release for world-first hydrogen haul truck prototype,medium
hydrogen_nrmm,Hydrogen mobile plant (fuel cell and H2 combustion engine NRMM),mobile_plant,oil,"Motive power for heavy, high-utilisation machinery where batteries impractical; H2 gensets",,"No numeric TRL extracted. ERM study for DESNZ (2023): hydrogen fuel cell 'in development'; DESNZ CfE summary (2025): respondents report 'hydrogen fuel cell machinery, such as generators, are already commercially available' and suggest 'hydrogen ICE should be assumed to be available sooner... by 2030'","On-site H2 supply, storage and refuelling; fuel cost; regulations (storage, RTFO treatment); early OEM offerings only (e.g. JCB H2 ICE)",Demonstration/pilot (JCB hydrogen ICE machines; fuel-cell gensets on construction sites),cross_cutting,[DESNZ_NRMM_CFE2025] Respondent statements; ERM_NRMM2023 for development status; TRL null per rules,low
impingement_tad_drying_conversion,Impingement / through-air drying conversion,process_change,gas,High-intensity impingement or through-air drying sections raising drying rates and enabling fuel-switched (H2/electric) hoods,9,TAD and impingement hoods commercially established in tissue; UK roadmap lists advanced drying technologies among options,Air-based drying is gas-fired unless paired with electric or H2 heating; TAD raises specific energy (used for quality); machine rebuild,TAD installed at some UK tissue sites,sector_specific,[paper_roadmap_2015] UK pulp & paper 2050 roadmap covers advanced drying options,low
increased_rap_content,High reclaimed asphalt pavement (RAP) content,process_change,bitumen; virgin_aggregate; gasoil,"Recycle planings into new asphalt, cutting embodied carbon of binder and aggregate",9,Commercially deployed; UK producers market mixes with high RAP contents at standard plants,Specification limits on RAP %; RAP supply/quality consistency; high-RAP operation needs plant modifications (parallel drum/superheating); modest effect on plant fuel per tonne,Commercial and growing across UK plants,sector_specific,[R_RAP] Holcim UK recycled asphalt page describing RAP use in UK production,high
induction_heating,Induction heating and melting,electrification,gas; oil; coal,"Heating/melting of electrically conductive materials (metals) to >1200C; forging, hardening, melting",9,Agora Industry/Fraunhofer ISI (2024): induction heating 'Technology readiness level 9 - Established technology in metal processing',Limited to conductive workpieces; high power draw and grid connection; furnace replacement rather than burner retrofit,"Deployed (metals processing, foundries)",cross_cutting,"[AGORA2024] TRL table, induction entry; HASANBEIGI2021 corroborates commercial status",high
inert_anode_smelting,Inert anode aluminium electrolysis (ELYSIS),process_change,carbon anodes (process CO2); anode baking fuel,"Replacing consumable carbon anodes with inert anodes in Hall-Heroult cells, eliminating direct process CO2 and PFC emissions (oxygen by-product)",7,ELYSIS (Alcoa/Rio Tinto) started up a commercial-size 450 kA cell with inert anodes in 2025 — first-of-a-kind demonstration at commercial scale,Anode life and cost; cell energy balance changes (loss of carbon oxidation heat); retrofit to existing potlines unproven; licensing just beginning,"Not deployed at Lochaber (UK's only smelter, hydro-powered); a long-term option for its process CO2",sector_specific,[REF_ELYSIS] Rio Tinto press release on ELYSIS commercial-size inert anode cell start-up,high
insulation_upgrade,"Thermal insulation of plant, pipework and furnaces (incl. refractory upgrade)",efficiency_heat_recovery,gas; oil; coal; electricity,"Reduces standing losses on steam systems, tanks, furnaces; all temperature ranges",,No published TRL located; mature commercial products outside TRL frameworks in the sources reviewed,Access/outage for hot works; none technical,Deployed; persistent economic potential,cross_cutting,[HASANBEIGI2021] TRL null per rules; context reference only,medium
inverter_welding_equipment,Inverter welding power sources,efficiency_heat_recovery,electricity,"Replacement of transformer-rectifier welding sets with inverter power sources, cutting conversion losses and idle draw in welding and body shops",,Mature commercial technology per manufacturer literature; no formal TRL located,Modest absolute savings unless welding-intensive; equipment refresh cycle driven; power quality/harmonics on large installations,Fully commercial; default for new purchases,sector_specific,[REF_LINCOLN_INVERTER] Lincoln Electric technical article on inverter power source energy efficiency,medium
ipcc_in_pit_crushing_conveying,In-pit crushing and conveying (IPCC) / conveyor haulage replacing dump trucks,process_change,diesel,Replace diesel truck haulage from face to plant with in-pit crusher plus electric conveyors,9,Technology in commercial use for decades; documented emissions-reduction driver (Worley; Snowden Optiro),"High capex; reduces mine-plan flexibility; suits long-life, high-tonnage operations with stable haul routes",Field conveyors common at larger UK quarries; full IPCC rare at UK scale,sector_specific,[REF_WORLEY] Industry analysis of IPCC as sustainability/decarbonisation measure vs truck-shovel,high
iron_ore_electrowinning,Low-temperature iron ore electrowinning (SIDERWIN/Volteron),electrification,coke; coking coal; natural gas,"Alkaline electrolysis of iron ore at ~110C producing iron plate for EAF melting, zero direct CO2 with clean power",5-6,EU H2020 SIDERWIN project demonstrated the electrochemical cell at pilot scale (CORDIS results article); ArcelorMittal-John Cockerill 'Volteron' industrial-scale plant announced,Low current density means large cell areas; scale-up unproven; high electricity demand; product must be melted in EAF,No UK activity,sector_specific,[REF_SIDERWIN] CORDIS results article on SIDERWIN electrolysis pilot; ArcelorMittal/John Cockerill industrial plant announcement (REF_VOLTERON),medium
kiln_dryer_cascade_heat_recovery,Kiln-to-dryer cascade heat recovery (tunnel kiln cooling zone heat),efficiency_heat_recovery,gas,Recover hot air from kiln cooling zones to feed dryers in brick/tile/ceramics works,9,Established industry practice discussed in BEIS/BCC 2015 ceramics roadmap,"Couples kiln and dryer scheduling; retrofit ducting; many UK sites already do this, limiting incremental savings; conflicts with kiln electrification (less waste heat)",Widely deployed; further optimisation potential,sector_specific,[R_BEIS_CER2015] BEIS/BCC ceramics roadmap covers heat recovery from kilns to dryers,high
kiln_net_zero_fuel_mix_h2_biomass,Net-zero kiln fuel mix (hydrogen + biomass wastes) for cement/lime kilns,hydrogen,coal; petcoke; gas; waste_fuels,"Main-burner fuel mix of hydrogen, meat and bone meal and glycerine demonstrated at commercial cement kiln scale",,No numeric TRL located; world-first commercial-scale trial completed at Hanson/Heidelberg Ribblesdale (2021) under BEIS fuel-switching programme,Hydrogen supply/cost and onsite storage; burner and flame-profile modifications; biomass by-product availability; addresses combustion CO2 only (~40% of cement emissions),Demonstrated at Ribblesdale cement works; academic study confirmed success,sector_specific,[R_MPA_RIBB] MPA press release on world-first net zero fuel mix trial at Ribblesdale,high
lab_air_change_reduction_dcv,Lab air-change-rate reduction with demand-controlled ventilation,efficiency_heat_recovery,gas; electricity,Risk-based ACH reduction with air-quality sensing and demand-controlled ventilation,9,Commercial systems with documented case studies (WBDG / Smart Labs),Hazard assessment and governance of setpoints; sensor maintenance,Growing UK uptake in university and commercial labs,sector_specific,[wbdg_ach_2022] WBDG resource on reducing lab air change rates,high
lab_exhaust_heat_recovery,Lab exhaust heat recovery (run-around coils),efficiency_heat_recovery,gas,Run-around coil/plate heat recovery on 100% outside-air laboratory ventilation,9,Established best practice per Labs21/NREL guide,Contamination risk rules out wheels in many labs (run-around preferred); added fan power; retrofit space,Standard in new UK lab buildings; large retrofit potential in older stock,sector_specific,[nrel_labs21_erv] Labs for the 21st Century best practice guide on energy recovery,high
lab_led_lighting_controls,LED lighting with occupancy/daylight controls (labs),efficiency_heat_recovery,electricity,LED retrofit and occupancy sensing in lab and write-up spaces,9,Commercial; lab occupancy-sensor implementation case study (I2SL Smart Labs),Sensor placement in cellular lab spaces; small share of total lab energy versus HVAC,Standard retrofit measure in UK estates,sector_specific,[emory_lighting_case] Smart Labs case study on occupancy sensors in labs,high
led_high_bay_lighting,LED high-bay lighting with controls,efficiency_heat_recovery,electricity,"Replacement of HID/fluorescent high-bay luminaires with LED plus occupancy/daylight controls in workshops, factories and sortation halls",,Mature commercial technology; no formal TRL rating located,Capex only; interaction with heating (reduced internal gains) marginal; emergency lighting compliance on retrofit,Fully commercial and default retrofit; typically 50%+ lighting energy saving per Carbon Trust guidance,sector_specific,[REF_CT_LIGHTING] Carbon Trust Lighting overview guide covers LED retrofit and controls,high
led_uv_curing,LED-UV curing replacing gas-fired dryers,electrification,gas,Instant-cure LED-UV inks replacing gas heatset/IR dryers on web and sheetfed presses,9,Commercially available; European web printers reported converting from gas heatset dryers to LED-UV (trade press),Ink cost premium; substrate/ink compatibility; coldset newsprint has no dryer so limited relevance there,Commercially available and adopted by some UK commercial printers,sector_specific,[baldwin_leduv] Baldwin/trade report on heatset-to-LED-UV conversions,medium
lime_oxyfuel_flash_calcination,Oxyfuel flash calcination of lime with inherent CO2 capture (Origen ZerCaL),ccs_ccu,gas; process_co2,Flash calciner producing quicklime with concentrated capture-ready CO2 stream,,No numeric TRL located; demonstration kiln commissioning reported by developer; ZerCaL250 project proposed in Humber,First-of-a-kind; oxygen supply; lime product quality/reactivity; needs CO2 transport and storage offtake,"UK developer (Origen); demonstration stage, proposed UK deployment",sector_specific,[R_ORIGEN] Origen news on kiln commissioning; Invest Humber ZerCaL250 listing corroborates UK project,low
low_bake_paint_chemistry,Low-bake / low-temperature-cure paint chemistry,process_change,gas,"Reformulated OEM coatings curing at reduced oven temperatures (~80-120C vs 140-180C), cutting paint-shop oven fuel use and enabling oven electrification",,US DOE advanced coatings workshop (2016) discusses low-temperature-cure automotive coatings as a development priority; no formal TRL published,"Requires OEM paint requalification (appearance, durability, corrosion warranty); coating supplier lock-in; benefits depend on oven redesign","OEM/supplier trials (e.g. BASF, PPG low-cure systems); not standard practice in UK plants",sector_specific,[REF_DOE_COATINGS] US DOE workshop report on advanced coatings for automotive applications covers low-temperature cure,medium
low_gwp_process_gas_substitution,Low-GWP process gas substitution,process_change,f_gases,"Substituting high-GWP etch/clean gases (CF4, SF6) with low-GWP alternatives (e.g. C3F6, C2F4O)",3,"Laboratory plasma etch studies published (ACS Sustainable Chemistry & Engineering, 2025)","Per-tool, per-recipe requalification; etch performance parity unproven at production scale",Research stage; no UK production use identified,sector_specific,[acs_lowgwp_2025] Peer-reviewed study of low-GWP CF4 replacement etch gas,low
low_temperature_tanning_chemistry,Low-temperature / alternative tanning chemistry,process_change,gas,Alternative tanning/retanning chemistries and float management reducing hot-water and drying energy,,No published TRL located; chrome-free/low-float systems commercially offered; UNIDO framework discusses cleaner process options,Leather quality and customer acceptance; process requalification; energy-saving evidence site-specific,Some UK tanneries trialling chrome-free systems; uptake limited,sector_specific,[unido_framework_2019] UNIDO framework for sustainable leather manufacture,low
malting_kiln_heat_pump,Heat-pump kilning with kiln exhaust heat recovery,electrification,gas,"Large heat pumps recovering latent heat from humid kiln exhaust to supply ~60-90C kiln air, replacing gas-fired air heating",,"No published TRL; full-scale projects in planning/execution (Boortmalt Bury St Edmunds planning application 2024, described as its second large-scale heat pump project)",Kiln airflow/temperature profile (curing phase hottest); large electrical connection; fouling of exhaust heat exchangers; malt quality/flavour validation,"Demonstration stage in UK malting; Boortmalt Bury St Edmunds (100kt/yr) plans ~9,150 tCO2/yr saving",sector_specific,[BOORTMALT_HP] Boortmalt planning application for heat-pump decarbonisation of Bury St Edmunds maltings,medium
microwave_assisted_ceramic_firing,Microwave-assisted firing/sintering of ceramics,electrification,gas,Hybrid microwave plus conventional heating to cut firing energy and cycle time,,No numeric TRL located; long-standing R&D (UK IET conference paper 1998; recent lab studies) with no industrial-scale deployment identified,Heating uniformity and susceptor issues; scale-up beyond kW-scale kilns; product-specific validation; retrofit difficulty,"UK R&D heritage, no industrial deployment found",sector_specific,[R_MW_IET] IET 'Microwave-assisted firing of ceramics'; recent MDPI study (R_MW_MDPI) confirms continued lab-scale status,low
microwave_rf_drying,Microwave / radio-frequency dielectric heating and drying,electrification,gas; electricity,"Volumetric drying/heating of dielectric materials: food, chemicals drying, freeze-drying assist; novel uses (pyrolysis, minerals) lower TRL",7-9,"CalNEXT/AESC Industrial Microwave Technologies Market Study (2024): food processing 'estimated TRL is 7 to 9'; chemicals 'For simple drying applications, the current estimated TRL is 7 to 9'; complex reactions (e.g. pyrolysis) TRL 3-6; metallurgy TRL 3-4",Product dielectric properties determine suitability; per-line engineering; magnetron/solid-state source costs; scale-up beyond drying unproven,"Commercial in food niches (tempering, drying); demonstration elsewhere",cross_cutting,[CALNEXT2024] Sector-by-sector TRL estimates; TRL given applies to drying duties only,medium
minewater_heat_pump_recovery,Minewater heat recovery via heat pumps (heat networks / building heat),other,natural_gas,Extract low-grade heat (~15-20C) from pumped minewater at treatment/pumping schemes and upgrade with heat pumps for heat offtakers,9,Gateshead 6MW minewater heat network fully operational since March 2023 (GOV.UK); Coal Authority Dawdon/Seaham scheme in development,Needs nearby heat demand; displaces offtakers' gas rather than site's own fuel; ochre fouling of heat exchangers; long-term coordination with Mining Remediation Authority,Operational (Gateshead); further Coal Authority schemes in development (Seaham/Dawdon),sector_specific,[REF_GOVUK_GATESHEAD] Official confirmation of operational UK minewater heat scheme,high
molten_oxide_electrolysis,Molten oxide electrolysis of iron ore (Boston Metal),electrification,coke; coking coal; natural gas,"Direct electrolytic reduction of iron ore to liquid metal at ~1600C using inert anodes, zero direct CO2 with clean power",4-5,"Independent technology assessment (Thunder Said Energy) places MOE at pilot stage (~TRL 4-5); Boston Metal operating semi-industrial cells, commercial demo planned late 2020s",Inert anode durability at 1600C; very high electricity demand; scale-up from pilot cells; no continuous industrial operation yet,No UK activity,sector_specific,[REF_BOSTON] Thunder Said Energy technology review of Boston Metal MOE; company fact sheet (REF_BOSTON_FS),medium
mvr,Mechanical vapour recompression (MVR),electrification,gas; oil,"Recompression of process vapour/waste steam to useful pressure (~2.5-4.5 bar up to ~13 bar); evaporation, distillation, concentration duties",9,TNO/energy.nl factsheet 'Industrial mechanical vapour recompression' (Marsidi 2018): 'TRL 9'; ARENA/Alcoa (2022): 'MVR is an established technology' though first-of-a-kind at alumina-refinery scale,"Needs a clean, condensable vapour stream at suitable pressure; compressor sizing/fouling; grid connection; novel at very large single-train scale","Commercial in evaporation-heavy sectors (food, chemicals, effluent); site-specific",cross_cutting,[TNO_MVR2018] Factsheet TRL field; ARENA_MVR2022 for scale caveat,high
natural_refrigerant_refrigeration,High-efficiency natural refrigerant (NH3/CO2) refrigeration replacement,efficiency_heat_recovery,electricity,"Replace ageing HFC/R22 plant with efficient ammonia or transcritical CO2 systems, often with integrated heat recovery",,No formal TRL; mature commercial technology with large UK installations (e.g. multi-MW ammonia plant at NewCold cold store),Ammonia safety case (DSEAR); CO2 efficiency at high ambient; capex vs drop-in refrigerant swap; F-gas phase-down timing,Fully commercial in UK food cold chain; F-gas regulation is driving conversion,sector_specific,[STAR_NATREF] Star Refrigeration guidance on natural refrigerant options under tightening F-gas rules; NewCold ammonia installation,high
ohmic_heating_food,Ohmic (direct resistance) heating of pumpable foods,electrification,gas,Direct volumetric electric heating for pasteurisation/sterilisation/cooking of pumpable and particulate foods,,"No formal TRL; peer-reviewed reviews report commercial ohmic installations for fruit, ready meals and liquid foods",Product must be pumpable with suitable conductivity; electrode fouling/corrosion; niche equipment supply; validation burden,Commercially available at niche scale; limited UK penetration,sector_specific,"[OHMIC_REVIEW] Peer-reviewed review of ohmic heating technology, applications and commercial status",medium
