carb3_activity,process_set_id,process_id,option_id,trl,applicability,notes,provenance,confidence
Concrete Block Works,default,batching_mixing,clinker_substitution_scm,9,commercial,SCM substitution in block mixes,[R_MPA_ROADMAP] roadmap low-carbon concrete lever,high
Concrete Block Works,default,batching_mixing,co2_mineralised_concrete,,commercial,CO2 injection offered for masonry/dry-cast mixes; early UK uptake,[R_CARBONCURE] vendor documentation,medium
Concrete Block Works,default,block_machine_pressing,compressed_air_optimisation,,commercial,Air/hydraulic systems on block machines,engineering judgement,low
Concrete Block Works,default,block_machine_pressing,controls_vsds,,commercial,Press/vibration drive optimisation; electricity-only,engineering judgement,medium
Concrete Block Works,default,curing_kilns,biomethane_fuel,8-9,commercial,Drop-in for gas-fired curing heat,engineering judgement,low
Concrete Block Works,default,curing_kilns,carbonation_curing_precast,,demonstration,"Unreinforced blocks are the best-fit product for CO2 curing; demos overseas, CO2 supply needed",[R_CO2CURE] published industrial CO2 curing demonstration,medium
Concrete Block Works,default,curing_kilns,electrode_boiler,9,commercial,Electric steam/hot water for curing where used,engineering judgement,medium
Concrete Block Works,default,curing_kilns,heat_pump_below_100,9,commercial,Low-temperature curing chambers (30-70C) well matched to heat pumps,engineering judgement,high
Concrete Block Works,default,mobile_plant,battery_electric_nrmm,,demonstration,"Electric forklifts commercial, larger loaders demo",engineering judgement,medium
Concrete Block Works,default,mobile_plant,hvo_bio_oils_dropin,9,commercial,Loaders/forklifts,engineering judgement,high
Concrete Block Works,default,site_services,heat_pump_below_100,9,commercial,Space heating,engineering judgement,medium
Concrete Block Works,default,site_services,onsite_solar_pv,,commercial,Roof/land PV,engineering judgement,medium
Concrete Product Works,default,batching_mixing,alkali_activated_binder,,demonstration,AACM precast products exist in UK niche; standards constraints,[R_AAM] review of industrially available AACM production,medium
Concrete Product Works,default,batching_mixing,calcined_clay_lc3,,prospective,Subject to UK LC3 supply,[R_LC3_REV] LC3 review,low
Concrete Product Works,default,batching_mixing,clinker_substitution_scm,9,commercial,SCM substitution in precast mixes; early-strength needs can limit replacement levels,[R_MPA_ROADMAP] roadmap low-carbon concrete lever,high
Concrete Product Works,default,batching_mixing,co2_mineralised_concrete,,commercial,CO2 injection also offered for precast mixes; small saving,[R_CARBONCURE] vendor documentation,medium
Concrete Product Works,default,curing,biomethane_fuel,8-9,commercial,Drop-in for gas-fired curing boilers,engineering judgement,low
Concrete Product Works,default,curing,carbonation_curing_precast,,demonstration,CO2 curing best for unreinforced products; industrial demos overseas; standards and CO2 supply constraints,[R_CO2CURE] published industrial demonstration of CO2 mineralisation curing,medium
Concrete Product Works,default,curing,electrode_boiler,9,commercial,Electric steam/hot water for steam curing lines,engineering judgement,high
Concrete Product Works,default,curing,heat_pump_below_100,9,commercial,Accelerated curing chambers typically <70C; strong heat-pump fit,engineering judgement,high
Concrete Product Works,default,curing,solar_thermal_process_heat,,prospective,Low-temp curing heat contribution,engineering judgement,low
Concrete Product Works,default,forming_casting_vibration,controls_vsds,,commercial,Vibrator/hydraulic drive optimisation; electricity-only,engineering judgement,low
Concrete Product Works,default,mobile_plant_trucks,battery_electric_nrmm,,demonstration,Electric yard plant emerging,engineering judgement,medium
Concrete Product Works,default,mobile_plant_trucks,hvo_bio_oils_dropin,9,commercial,Yard plant and trucks,engineering judgement,high
Concrete Product Works,default,site_services,compressed_air_optimisation,,commercial,Air tools/mould systems,engineering judgement,low
Concrete Product Works,default,site_services,heat_pump_below_100,9,commercial,Space heating,engineering judgement,medium
Concrete Product Works,default,site_services,onsite_solar_pv,,commercial,Roof PV on casting sheds,engineering judgement,medium
Concrete batching plant,default,aggregate_handling_conveying,controls_vsds,,commercial,Conveyor/bin drive optimisation; electricity-only,engineering judgement,medium
Concrete batching plant,default,batching_mixing,alkali_activated_binder,,demonstration,Cemfree-type cement-free mixes used on UK infrastructure projects; standards and activator supply constraints,[R_CEMFREE] ICE Network Rail Cemfree case study,medium
Concrete batching plant,default,batching_mixing,calcined_clay_lc3,,prospective,LC3-type cements usable at batching once UK supply exists,[R_LC3_REV] LC3 review; no UK production,low
Concrete batching plant,default,batching_mixing,clinker_substitution_scm,9,commercial,GGBS/PFA/limestone cement replacement at the mixer; supply of SCMs tightening,[R_MPA_ROADMAP] roadmap low-carbon concrete lever,high
Concrete batching plant,default,batching_mixing,co2_mineralised_concrete,,commercial,"CO2 injection retrofit at batching; commercial overseas, early UK uptake; small per-m3 saving",[R_CARBONCURE] vendor technical documentation; hundreds of plants,medium
Concrete batching plant,default,dust_extraction,controls_vsds,,commercial,Filter fan VSDs; electricity-only,engineering judgement,low
Concrete batching plant,default,mobile_plant_trucks,battery_electric_nrmm,,demonstration,Electric mixer trucks and loaders entering UK fleets; payload/charging constraints,engineering judgement,medium
Concrete batching plant,default,mobile_plant_trucks,hvo_bio_oils_dropin,9,commercial,Loading shovels and mixer truck fleets,engineering judgement,high
Concrete batching plant,default,site_services,onsite_solar_pv,,commercial,Site PV,engineering judgement,medium
Concrete batching plant,default,water_aggregate_heating,biomethane_fuel,8-9,commercial,Drop-in where gas boilers retained,engineering judgement,low
Concrete batching plant,default,water_aggregate_heating,electrode_boiler,9,commercial,Electric water/steam heating replaces gas/oil boilers for water and aggregate thaw,engineering judgement,high
Concrete batching plant,default,water_aggregate_heating,heat_pump_below_100,9,commercial,Winter batch water heating <80C is an ideal heat-pump duty,engineering judgement,high
Concrete batching plant,default,water_aggregate_heating,solar_thermal_process_heat,,prospective,Preheat batch water; seasonal mismatch (demand peaks in winter),engineering judgement,low
Creamery,default,cip_hot_water,electrode_boiler,9,commercial,Electric hot water/steam backup,engineering judgement,medium
Creamery,default,cip_hot_water,heat_pump_below_100,9,commercial,CIP 60-85C ideal heat pump duty,[STAR_HP] Industrial heat pumps for hot water,high
Creamery,default,cip_hot_water,heat_recovery_heat_pump,8-9,commercial,Upgrade refrigeration/evaporator condensate heat to CIP,[STAR_HP] Heat recovery heat pump systems,medium
Creamery,default,cip_hot_water,solar_thermal_process_heat,,commercial,Pre-heat CIP make-up water,engineering judgement,low
Creamery,default,compressed_air,compressed_air_optimisation,,commercial,Standard measures,engineering judgement,medium
Creamery,default,evaporation_drying,dairy_membrane_preconcentration,,commercial,RO/NF pre-concentration cuts evaporator duty; fouling/CIP load,[RO_DAIRY] RO applications in dairy processing review,high
Creamery,default,evaporation_drying,electric_resistance_oven_furnace,8-9,prospective,Electric air heaters for spray dryers; simple but very large connection,engineering judgement,low
Creamery,default,evaporation_drying,htp_heat_pump_100_150,8-9,demonstration,Heat pump preheat of dryer inlet air/evaporator steam; top-up heat still needed for 180-200C inlet,engineering judgement,medium
Creamery,default,evaporation_drying,mvr,9,commercial,MVR standard on modern milk/whey evaporators,[RO_DAIRY] Dairy concentration literature; MVR evaporators industry standard,high
Creamery,default,evaporation_drying,waste_heat_recovery_process,,commercial,Spray dryer exhaust heat recovery to inlet air/water,engineering judgement,medium
Creamery,default,evaporation_drying,zeolite_adsorption_drying,,speculative,Adsorption-assisted low-temperature drying of powders; pilot-stage only,[ZEOLITE_WUR] WUR multistage zeolite drying research,low
Creamery,default,heat_treatment_pasteurisation,electrode_boiler,9,commercial,Electric steam for HTST/UHT sets,engineering judgement,medium
Creamery,default,heat_treatment_pasteurisation,heat_pump_below_100,9,commercial,Pasteurisation 72-85C with regenerative HX; strong heat pump fit,[STAR_HP] Sub-100C industrial heat pump duties in food/dairy,high
Creamery,default,heat_treatment_pasteurisation,htp_heat_pump_100_150,8-9,demonstration,UHT/sterilisation ~120-140C; HTHP emerging,engineering judgement,medium
Creamery,default,heat_treatment_pasteurisation,ohmic_heating_food,,prospective,Direct ohmic heating of milk products; limited commercial precedent in dairy,[OHMIC_REVIEW] Ohmic heating review incl. liquid food pasteurisation,low
Creamery,default,heat_treatment_pasteurisation,waste_heat_recovery_process,,commercial,"Regeneration sections, condensate return",engineering judgement,high
Creamery,default,processing_machinery_pumping,controls_vsds,,commercial,Pump/separator VSDs; efficiency only,engineering judgement,medium
Creamery,default,refrigeration,controls_vsds,,commercial,VSDs and head-pressure control,engineering judgement,medium
Creamery,default,refrigeration,heat_recovery_heat_pump,8-9,commercial,Reject heat to pasteuriser/CIP water,[STAR_HP] Dairy refrigeration heat recovery,high
Creamery,default,refrigeration,natural_refrigerant_refrigeration,,commercial,NH3/CO2 chilled water and cold store plant,[STAR_NATREF] Natural refrigerant conversions,high
Creamery,default,site_services,battery_electric_nrmm,,commercial,Forklifts/tanker yard plant,engineering judgement,medium
Creamery,default,site_services,biomethane_fuel,8-9,commercial,AD of whey permeate/effluent sludges for site gas,engineering judgement,medium
Creamery,default,site_services,heat_pump_below_100,9,commercial,Buildings/DHW,engineering judgement,medium
Creamery,default,site_services,onsite_solar_pv,,commercial,Roof PV,engineering judgement,medium
Distillery,default,compressed_air,compressed_air_optimisation,,commercial,Standard measures,engineering judgement,medium
Distillery,default,cooling_systems,controls_vsds,,commercial,Cooling tower/pump VSDs,engineering judgement,medium
Distillery,default,cooling_systems,heat_recovery_heat_pump,8-9,demonstration,Upgrade condenser cooling water heat to mashing/still duties; core of InchDairnie and ThermoDrive concepts,[INCHDAIRNIE_HP] InchDairnie heat pump on condenser heat,medium
Distillery,default,cooling_systems,waste_heat_recovery_process,,commercial,Condenser hot water recovery to hot liquor; long-established,[BRIGGS_DAVIES] Distillery heat recovery practice,high
Distillery,default,coproduct_evaporation,distillery_coproduct_ad,,commercial,"Process change: divert pot ale to AD, avoiding evaporation load (foregoes syrup feed value)",[GOVSCOT_BYPROD] Scottish Government report on distillery by-products feed vs bioenergy use,medium
Distillery,default,coproduct_evaporation,mvr,9,commercial,MVR standard option on pot ale syrup evaporators,[VERCO_MVR] Verco analysis of MVR in distilleries incl. evaporation,high
Distillery,default,coproduct_evaporation,still_tvr_thermocompression,,commercial,TVR on multi-effect evaporators; established,[BRIGGS_DAVIES] Distillery energy paper on evaporator vapour recompression,medium
Distillery,default,distillation,biomass_boiler,9,commercial,"Established in sector (e.g. Jura biomass boiler, SIETF-funded); fuel logistics on islands",[SIETF_2022] Whyte & Mackay Jura biomass steam boiler grant; SWA report rates biomass established,high
Distillery,default,distillation,distillery_coproduct_ad,,commercial,Biogas from pot ale/draff fuels distillery boiler; deployed in sector,[AD_NINE_DIST] AD potential assessed at nine operational distilleries; SWA rates AD mature,high
Distillery,default,distillation,electrode_boiler,9,commercial,Electric steam to indirect-heated stills; grid capacity at rural sites is the binding constraint,[SWA_NETZERO] Electrification pathway in SWA/Ricardo net-zero report,high
Distillery,default,distillation,h2_boiler,7-9,demonstration,"HyLaddie (Bruichladdich) funded H2 boiler demo; Cromarty offtake concept, but Scottish H2 supply projects delayed",[HYLADDIE_P1] BEIS Green Distilleries HyLaddie Phase 1 report; Cromarty green hydrogen project,high
Distillery,default,distillation,htp_heat_pump_100_150,8-9,demonstration,HTHP raising LP steam/hot water for stills; SWA rates industrial HTHP least mature but UK installs starting,[SIETF_2022] Diageo Glendullan high-temperature heat pump installation grant; InchDairnie study,medium
Distillery,default,distillation,mvr,9,demonstration,"MVR on wash stills (~90% distillation energy saving claimed, COP>10); GlenAllachie launching 2025, precedent at Auchroisk 1986",[BRIGGS_THERMODRIVE] Briggs ThermoDrive MVR at GlenAllachie; Verco MVR distillery analysis; SIETF MVR feasibility grant,high
Distillery,default,distillation,still_tvr_thermocompression,,demonstration,Steam-jet recompression on pot still steam supply; lower saving/lower capex than MVR,[BRIGGS_DAVIES] Vapour recompression on stills in distillery energy paper,medium
Distillery,default,distillation,thermal_storage_power_to_heat,7-9,prospective,Off-peak power-to-heat with heat battery for still steam; Green Distilleries feasibility (Sunamp),[SUNAMP_GD] Sunamp Green Distilleries Phase 1 feasibility report,medium
Distillery,default,milling_mashing,controls_vsds,,commercial,Mill and mash house drives,engineering judgement,medium
Distillery,default,milling_mashing,heat_pump_below_100,9,commercial,Hot liquor ~70-85C from heat pump on cooling circuits,[INCHDAIRNIE_HP] InchDairnie heat pump integration study/deployment,medium
Distillery,default,milling_mashing,waste_heat_recovery_process,,commercial,Condenser/cooling heat to mash and hot liquor tanks; standard practice,[BRIGGS_DAVIES] Distillery energy paper on heat recovery to mashing liquor,high
Distillery,default,process_pumps_motors,controls_vsds,,commercial,VSDs on pumps/agitators,engineering judgement,medium
Distillery,default,site_services,battery_electric_nrmm,,commercial,Cask-handling forklifts,engineering judgement,medium
Distillery,default,site_services,fermentation_co2_recovery,,demonstration,"CO2 from washbacks; no dedicated fermentation process in set — distillery deployments emerging (Whyte & Mackay, Ardgowan)",[WM_CCS] Carbon Capture Scotland biogenic CO2 capture at Whyte & Mackay distillery,medium
Distillery,default,site_services,heat_pump_below_100,9,commercial,Offices/visitor centre heat,engineering judgement,medium
Distillery,default,site_services,hvo_bio_oils_dropin,9,commercial,Drop-in for existing diesel yard plant,engineering judgement,medium
Distillery,default,site_services,onsite_solar_pv,,commercial,Warehouse roofs,engineering judgement,medium
Distillery,grain_distillery,continuous_distillation,electrode_boiler,9,commercial,Electric steam supply to columns,[SWA_NETZERO] Electrification pathway,medium
Distillery,grain_distillery,continuous_distillation,mvr,9,demonstration,MVR well suited to continuous column heat integration,[VERCO_MVR] Verco MVR distillery analysis (up to ~90% energy reduction),medium
Distillery,grain_distillery,continuous_distillation,still_tvr_thermocompression,,commercial,Thermocompression on continuous (Coffey/patent) still steam; established practice,[BRIGGS_DAVIES] Vapour recompression in distillery energy paper,medium
Distillery,grain_distillery,continuous_distillation,waste_heat_recovery_process,,commercial,Column overhead/condensate heat integration,[BRIGGS_DAVIES] Distillery heat recovery practice,high
Distillery,grain_distillery,cooking_conversion,biomass_boiler,9,commercial,Large biomass steam plant proven at distillery scale,[SWA_NETZERO] Biomass rated established in sector pathway,high
Distillery,grain_distillery,cooking_conversion,distillery_coproduct_ad,,commercial,Spent wash AD to biogas for site steam (Cameronbridge-type bioenergy plant),[AD_NINE_DIST] AD of distillery co-products at operational sites,high
Distillery,grain_distillery,cooking_conversion,electrode_boiler,9,commercial,Electric steam for cookers; very large loads need major grid connection,[SWA_NETZERO] Electrification pathway in SWA/Ricardo report,medium
Distillery,grain_distillery,cooking_conversion,h2_boiler,7-9,prospective,Depends on regional H2 supply (Grangemouth/Fife clusters),[CROMARTY_H2] Green hydrogen offtake concepts for Scottish distilleries,low
Distillery,grain_distillery,cooking_conversion,htp_heat_pump_100_150,8-9,demonstration,Cooker steam at lower pressures; HTHP emerging,"[SWA_NETZERO] SWA report notes industrial HTHP least mature, no sector demonstrator yet",medium
Distillery,grain_distillery,cooking_conversion,waste_heat_recovery_process,,commercial,Flash steam and blowdown recovery from pressure cooking,[BRIGGS_DAVIES] Distillery energy/heat recovery practice,medium
Distillery,grain_distillery,coproduct_evaporation_drying,biomethane_fuel,8-9,commercial,Drop-in for gas-fired grains dryers,engineering judgement,medium
Distillery,grain_distillery,coproduct_evaporation_drying,distillery_coproduct_ad,,commercial,"Divert spent wash/draff to AD, reducing evaporation/drying load (feed-market trade-off)",[GOVSCOT_BYPROD] By-products feed vs bioenergy analysis for Scotland,medium
Distillery,grain_distillery,coproduct_evaporation_drying,h2_kiln_furnace_burner,5-8,prospective,Direct H2 firing of rotary/ring dryers; supply-dependent,engineering judgement,low
Distillery,grain_distillery,coproduct_evaporation_drying,mvr,9,commercial,MVR on dark grains evaporators,[VERCO_MVR] MVR for distillery evaporation,high
Distillery,grain_distillery,coproduct_evaporation_drying,still_tvr_thermocompression,,commercial,TVR on multi-effect evaporators,[BRIGGS_DAVIES] Evaporator thermocompression practice,medium
Distillery,grain_distillery,coproduct_evaporation_drying,superheated_steam_drying,,prospective,Steam drying of distillers grains analogous to beet pulp dryers; not yet demonstrated for UK dark grains,[ENERDRY_SSD] Industrial superheated steam drying of wet fibrous co-products,low
Distillery,grain_distillery,grain_intake_milling,controls_vsds,,commercial,Electric intake/milling; efficiency only,engineering judgement,medium
Distillery,grain_distillery,site_services,battery_electric_nrmm,,commercial,Yard and warehouse plant,engineering judgement,medium
Distillery,grain_distillery,site_services,fermentation_co2_recovery,,demonstration,Large single-site fermentation CO2 streams attractive for capture/utilisation,[WM_CCS] Distillery biogenic CO2 capture partnership,medium
Distillery,grain_distillery,site_services,heat_pump_below_100,9,commercial,Buildings/DHW,engineering judgement,medium
Distillery,grain_distillery,site_services,onsite_solar_pv,,commercial,Roof/land PV,engineering judgement,medium
Effluent Minewater Treatment Plant,default,aeration_treatment,controls_vsds,,commercial,VSD blowers or passive cascade aeration; already electric,engineering judgement,medium
Effluent Minewater Treatment Plant,default,minewater_pumping,controls_vsds,,commercial,VSDs on borehole/transfer pumps; already electric,engineering judgement,medium
Effluent Minewater Treatment Plant,default,minewater_pumping,minewater_heat_pump_recovery,9,commercial,Heat recovery from treatment flow (Dawdon scheme supplies Seaham heat network); ochre fouling management needed,[REF_GOVUK_DAWDON] Coal Authority Dawdon treatment scheme heat case study,high
Effluent Minewater Treatment Plant,default,site_services,controls_vsds,,commercial,"Controls, dosing pumps, lighting",engineering judgement,medium
Effluent Minewater Treatment Plant,default,site_services,onsite_solar_pv,,commercial,PV at remote treatment sites offsets continuous load,engineering judgement,medium
Exhaust and tyre centre,default,site_services,controls_vsds,,commercial,Simple controls and shutdown,[REF_CT_HVAC] Carbon Trust HVAC guide,medium
Exhaust and tyre centre,default,site_services,ev_fleet_charging_infrastructure,,commercial,Customer/fleet chargepoints,[REF_EST_FLEET] EST business EV charging guidance,high
Exhaust and tyre centre,default,site_services,led_high_bay_lighting,,commercial,Bay LED plus controls,[REF_CT_LIGHTING] Carbon Trust lighting guide,high
Exhaust and tyre centre,default,site_services,onsite_solar_pv,,commercial,Roof PV where owned premises,engineering judgement,low
Exhaust and tyre centre,default,space_heating,air_to_air_hp_warm_air,9,commercial,Fast-response heating for open-door bays,[REF_UKBCH_ASHP] A2A covered under ASHP guidance,medium
Exhaust and tyre centre,default,space_heating,ashp_space_heating_industrial,9,commercial,ASHP for reception/office areas and bays,[REF_UKBCH_ASHP] UK Business Climate Hub ASHP guidance,medium
Exhaust and tyre centre,default,space_heating,building_fabric_upgrade,,commercial,Fast-action doors and air-tightness,[REF_CT_FABRIC] Carbon Trust building fabric guide,high
Exhaust and tyre centre,default,space_heating,electric_radiant_space_heating,,commercial,Spot IR over work positions; robust to air changes,[REF_ECA_RADIANT] ETL radiant heating datasheet,medium
Exhaust and tyre centre,default,water_heating,heat_pump_below_100,9,commercial,HP water heater for small DHW loads,[REF_CT_HVAC] Carbon Trust HVAC guide,medium
Exhaust and tyre centre,default,water_heating,solar_thermal_process_heat,,commercial,Solar pre-heat; seasonal,engineering judgement,low
Exhaust and tyre centre,default,workshop_equipment,compressed_air_optimisation,,commercial,Air tools/tyre inflation; leak management,[REF_CT_MANUF] Carbon Trust guidance on compressed air,medium
Exhaust and tyre centre,default,workshop_equipment,controls_vsds,,commercial,Timers/interlocks on compressors and extraction,engineering judgement,low
Exhaust and tyre centre,default,workshop_equipment,inverter_welding_equipment,,commercial,Exhaust fabrication welding,[REF_LINCOLN_INVERTER] Manufacturer efficiency literature,medium
Factory,default,machine_drive,compressed_air_optimisation,,commercial,"Leaks, pressure set-point, VSD compressors",[REF_CT_MANUF] Carbon Trust manufacturing guide,high
Factory,default,machine_drive,controls_vsds,,commercial,"VSDs on fans/pumps/compressors, high-efficiency motors",[REF_CT_MANUF] Carbon Trust manufacturing guide,high
Factory,default,other_process,controls_vsds,,commercial,Controls/drives on miscellaneous plant,[REF_CT_MANUF] Generic manufacturing efficiency guidance,medium
Factory,default,other_process,waste_heat_recovery_process,,commercial,Opportunistic heat recovery,engineering judgement,low
Factory,default,process_cooling,controls_vsds,,commercial,"Chiller optimisation, floating head pressure",[REF_CT_MANUF] Generic manufacturing efficiency guidance,medium
Factory,default,process_cooling,heat_recovery_heat_pump,8-9,commercial,Chiller reject heat to space/water heating,[REF_CT_HVAC] Carbon Trust HVAC guide,medium
Factory,default,process_heating,biomethane_fuel,8-9,commercial,Drop-in for existing gas equipment,engineering judgement,low
Factory,default,process_heating,electric_resistance_oven_furnace,8-9,commercial,Electric ovens/furnaces standard at light-industrial scale,[REF_DESNZ_ELEC] Resistance heating TRL 9 per DESNZ/ERM,high
Factory,default,process_heating,h2_kiln_furnace_burner,5-8,prospective,Burner conversion contingent on H2 network availability,engineering judgement,low
Factory,default,process_heating,htp_heat_pump_100_150,8-9,demonstration,Low-temp process heat/drying to ~150C,[REF_DESNZ_ELEC] HTHP TRL 7-9 per DESNZ/ERM,medium
Factory,default,process_heating,induction_heating,9,commercial,Only for conductive metal loads,[REF_DESNZ_ELEC] DESNZ/ERM electrification report,medium
Factory,default,process_heating,waste_heat_recovery_process,,commercial,Exhaust recuperation on ovens/dryers,[REF_CT_MANUF] Carbon Trust manufacturing guide,medium
Factory,default,site_services,controls_vsds,,commercial,"BMS, ventilation VSDs, shutdown regimes",[REF_CT_HVAC] Carbon Trust HVAC guide,high
Factory,default,site_services,led_high_bay_lighting,,commercial,High-bay LED plus controls,[REF_CT_LIGHTING] Carbon Trust lighting guide,high
Factory,default,site_services,onsite_solar_pv,,commercial,Roof-mounted PV; structural and connection limits,engineering judgement,low
Factory,default,space_heating,air_to_air_hp_warm_air,9,commercial,Replaces gas warm-air unit heaters,[REF_UKBCH_ASHP] A2A covered under ASHP guidance,medium
Factory,default,space_heating,ashp_space_heating_industrial,9,commercial,Air-to-water ASHP with AHU/fan convector emitters,[REF_UKBCH_ASHP] UK Business Climate Hub ASHP guidance,high
Factory,default,space_heating,building_fabric_upgrade,,commercial,Fabric first to shrink heating plant,[REF_CT_FABRIC] Carbon Trust building fabric guide,high
Factory,default,space_heating,destratification_radiant_conversion,,commercial,Destrat fans plus zoned radiant in tall halls,[REF_CT_HVAC] Carbon Trust HVAC guide,high
Factory,default,space_heating,electric_radiant_space_heating,,commercial,Zone IR for high-bay production areas,[REF_ECA_RADIANT] ETL radiant heating datasheet,medium
Factory,default,steam_hot_water,biomass_boiler,9,commercial,"Fuel logistics, storage and air-quality permitting",engineering judgement,low
Factory,default,steam_hot_water,biomethane_fuel,8-9,commercial,Drop-in via certified grid gas,engineering judgement,low
Factory,default,steam_hot_water,electrode_boiler,9,commercial,Like-for-like steam/hot water; grid capacity and tariff exposure,[REF_DESNZ_ELEC] Electric boilers TRL 9 per DESNZ/ERM,high
Factory,default,steam_hot_water,h2_boiler,7-9,prospective,Awaits H2 supply; boiler conversion demonstrated elsewhere,engineering judgement,low
Factory,default,steam_hot_water,htp_heat_pump_100_150,8-9,demonstration,LP steam/hot water where loads under ~150C,[REF_DESNZ_ELEC] HTHP TRL 7-9 per DESNZ/ERM,medium
Factory,default,steam_hot_water,thermal_storage_power_to_heat,7-9,demonstration,Off-peak charging to reduce electric heat cost,engineering judgement,low
Flour Mill,default,compressed_air,compressed_air_optimisation,,commercial,Standard measures,engineering judgement,medium
Flour Mill,default,grinding_roller_mills,controls_vsds,,commercial,"Roller mill motor efficiency, load management; dominant site load, electric already",engineering judgement,medium
Flour Mill,default,pneumatic_conveying_aspiration,controls_vsds,,commercial,Fan/blower VSDs and conveying pressure optimisation,engineering judgement,medium
Flour Mill,default,site_services,battery_electric_nrmm,,commercial,Forklifts/yard plant,engineering judgement,medium
Flour Mill,default,site_services,heat_pump_below_100,9,commercial,Space heating/DHW replacing small gas boilers,engineering judgement,medium
Flour Mill,default,site_services,onsite_solar_pv,,commercial,Offsets all-electric process load,engineering judgement,medium
Flour Mill,default,wheat_cleaning_conditioning,controls_vsds,,commercial,Cleaning plant drives,engineering judgement,medium
Flour Mill,default,wheat_cleaning_conditioning,heat_pump_below_100,9,commercial,Warm water for wheat tempering (small heat duty),engineering judgement,low
Food Processing Centre,default,boiler_steam_hot_water,biomass_boiler,9,commercial,Proven in food sector; fuel logistics and air quality permits,[MUNTONS_BIOMASS] Biomass energy centre at Muntons food/malt site,high
Food Processing Centre,default,boiler_steam_hot_water,biomethane_fuel,8-9,commercial,Drop-in for gas boilers incl. onsite AD of food waste/effluent,[FD_ACTION_PLAN] AD/biogas flagged in sector action plan,high
Food Processing Centre,default,boiler_steam_hot_water,electrode_boiler,9,commercial,Direct replacement of gas steam boilers; grid connection and electricity price are the constraints,[FD_ACTION_PLAN] Electrification of heat identified in food & drink decarbonisation action plan,high
Food Processing Centre,default,boiler_steam_hot_water,h2_boiler,7-9,prospective,Awaits hydrogen supply; most food sites far from planned H2 clusters,[H2_SETBACKS] Scottish green hydrogen supply projects delayed,medium
Food Processing Centre,default,boiler_steam_hot_water,heat_pump_below_100,9,commercial,"Serves hot water/washdown share of boiler load, often paired with refrigeration heat recovery",[STAR_HP] Industrial heat pump/heat recovery applications in UK food plants,high
Food Processing Centre,default,boiler_steam_hot_water,htp_heat_pump_100_150,8-9,demonstration,LP steam duties; UK food-sector installs emerging,[SIETF_2022] SIETF-funded high-temperature heat pump projects in Scottish food & drink,medium
Food Processing Centre,default,compressed_air,compressed_air_optimisation,,commercial,"Leak reduction, pressure optimisation, compressor heat recovery",engineering judgement,medium
Food Processing Centre,default,direct_heating,biomethane_fuel,8-9,commercial,Drop-in for direct-fired ovens/dryers,engineering judgement,medium
Food Processing Centre,default,direct_heating,electric_resistance_oven_furnace,8-9,commercial,Electric ovens/fryers available; capacity upgrade often needed,[FD_ACTION_PLAN] Oven electrification in sector roadmap options,medium
Food Processing Centre,default,direct_heating,h2_kiln_furnace_burner,5-8,prospective,Burner conversion feasible but food-contact combustion products need validation; no H2 supply yet,engineering judgement,low
Food Processing Centre,default,direct_heating,microwave_rf_drying,7-9,demonstration,"Dielectric heating for drying/tempering niches, often hybrid with conventional ovens",engineering judgement,low
Food Processing Centre,default,direct_heating,ohmic_heating_food,,demonstration,"Pumpable product lines (sauces, ready meals) only",[OHMIC_REVIEW] Commercial ohmic applications reviewed for liquid/particulate foods,medium
Food Processing Centre,default,machinery_motors,controls_vsds,,commercial,Motor/VSD upgrades; already-electric duty so efficiency only,engineering judgement,medium
Food Processing Centre,default,refrigeration,controls_vsds,,commercial,"Floating head pressure, VSD compressors/fans",engineering judgement,medium
Food Processing Centre,default,refrigeration,heat_recovery_heat_pump,8-9,commercial,Upgrade condenser reject heat to washdown/process hot water,[STAR_HP] Refrigeration heat recovery heat pumps in UK food plants,high
Food Processing Centre,default,refrigeration,natural_refrigerant_refrigeration,,commercial,NH3/CO2 replacement at end of plant life; F-gas driven,[STAR_NATREF] UK natural refrigerant conversions in food cold chain,high
Food Processing Centre,default,site_services,battery_electric_nrmm,,commercial,Forklifts/yard vehicles,engineering judgement,medium
Food Processing Centre,default,site_services,heat_pump_below_100,9,commercial,Space heating and DHW,engineering judgement,medium
Food Processing Centre,default,site_services,insulation_upgrade,,commercial,Steam/condensate and building fabric,engineering judgement,medium
Food Processing Centre,default,site_services,onsite_solar_pv,,commercial,Large roof/land typical of food parks,engineering judgement,medium
Foundry,default,charge_handling,battery_electric_nrmm,,commercial,Electric forklifts/loaders for charge make-up,engineering judgement,low
Foundry,default,charge_handling,hvo_bio_oils_dropin,9,commercial,Drop-in for diesel yard plant,engineering judgement,low
Foundry,default,core_making,compressed_air_optimisation,,commercial,Core shooting/blowing air demand,engineering judgement,low
Foundry,default,core_making,electric_resistance_oven_furnace,8-9,commercial,Electric core drying/curing ovens,engineering judgement,low
Foundry,default,fettling_finishing,compressed_air_optimisation,,commercial,Air tools and blast equipment,engineering judgement,low
Foundry,default,fettling_finishing,controls_vsds,,commercial,Grinding/shotblast motor systems,engineering judgement,low
Foundry,default,fume_extraction,controls_vsds,,commercial,VSDs and demand control on extraction fans,engineering judgement,low
Foundry,default,fume_extraction,heat_recovery_heat_pump,8-9,prospective,Recover low-grade heat from extracted air for space heating,engineering judgement,low
Foundry,default,heat_treatment,biomethane_fuel,8-9,commercial,Drop-in for gas HT furnaces,engineering judgement,low
