carb3_activity,process_set_id,process_id,vector,energy_share,share_low,share_high,evidence_tier,provenance,confidence
Distillery,default,process_pumps_motors,electricity,0.4,,,engineering,[BALMENACH_CS] Case study lists pumps as a principal electricity use; no metered split published — allocation by rated-equipment logic,low
Distillery,default,site_services,electricity,0.25,,,engineering,[BALMENACH_CS] Lighting and electric space heating explicitly listed as electricity uses at Balmenach,low
Distillery,default,distillation,gas,0.85,0.85,0.9,published_sec,[SE_H2_DIST] 'About 85% of the heat demand at a distillery (without maltings) is consumed for distillation' (p14); Briggs paper states ~90% of thermal energy is used in the still house,high
Distillery,default,milling_mashing,gas,0.1,,,engineering,[SE_H2_DIST] Mashing named as the main secondary heat demand (p14); bulk of the non-distillation residual assigned to mash/hot liquor heating,medium
Distillery,default,site_services,gas,0.05,,,engineering,[SE_H2_DIST] Residual: CIP hot water and space heating; document level,medium
Distillery,default,distillation,oil,0.85,,,engineering,"[SE_H2_DIST] 31% of sector scope 1&2 emissions are from fossil fuel oils (p5) — oil is used in the same steam boilers as gas, so the gas split is mirrored",medium
Distillery,default,milling_mashing,oil,0.1,,,engineering,[SE_H2_DIST] Mirror of gas split — same steam system,medium
Distillery,default,site_services,oil,0.05,,,engineering,[SE_H2_DIST] Mirror of gas split — same steam system,medium
Distillery,grain_distillery,continuous_distillation,gas,0.45,,,engineering,"[SE_H2_DIST] Column stills remain the largest single heat user but are more heat-integrated than pot stills, and dark grains plants take a large share — distillation share reduced from the malt-site 85%",low
Distillery,grain_distillery,cooking_conversion,gas,0.15,,,engineering,[SE_H2_DIST] No published grain-distillery split located; cereal cooking is a steam demand absent at malt sites — allocation by engineering rationale,low
Distillery,grain_distillery,coproduct_evaporation_drying,gas,0.3,,,engineering,"[GOVSCOT_BYPROD] Dark grains manufacture (evaporation + rotary drying + pelletising, document level) is the major secondary heat sink at integrated grain sites",low
Distillery,grain_distillery,site_services,gas,0.1,,,engineering,"CIP, hot water and space heating residual",low
Effluent Minewater Treatment Plant,default,aeration_treatment,electricity,0.12,,,engineering,[COAL_AUTH] Engineering rationale: powered aeration/mixing where fitted is the largest non-pumping load; zero at fully passive schemes.,medium
Effluent Minewater Treatment Plant,default,dosing_sludge_handling,electricity,0.03,,,engineering,[COAL_AUTH] Engineering rationale: dosing and sludge pumps are small intermittent loads at active schemes.,medium
Effluent Minewater Treatment Plant,default,minewater_pumping,electricity,0.8,,,engineering,[COAL_AUTH] Document level: Coal Authority links its 30.48 GWh electricity purchase and its growth directly to volumes of mine water pumped; treatment steps at most schemes are passive (lagoons/wetlands). Exact 80% is engineering judgement.,medium
Effluent Minewater Treatment Plant,default,site_services,electricity,0.05,,,engineering,Engineering allowance for telemetry/lighting; closes balance to 1.00.,medium
Exhaust and tyre centre,default,site_services,electricity,0.64,,,fallback,[MIDAM_AUTOSHOP] Borrowed from 'Vehicle repair workshop / garage'.,low
Exhaust and tyre centre,default,space_heating,electricity,0.03,,,fallback,[MIDAM_AUTOSHOP] Borrowed from 'Vehicle repair workshop / garage'.,low
Exhaust and tyre centre,default,workshop_equipment,electricity,0.33,,,fallback,[MIDAM_AUTOSHOP] Borrowed from sibling activity 'Vehicle repair workshop / garage' (MidAmerican auto-shop chart).,low
Exhaust and tyre centre,default,space_heating,gas,0.99,,,fallback,[MIDAM_AUTOSHOP] Borrowed from 'Vehicle repair workshop / garage' (gas 99% space heating).,low
Exhaust and tyre centre,default,water_heating,gas,0.01,,,fallback,[MIDAM_AUTOSHOP] Borrowed from 'Vehicle repair workshop / garage'.,low
Factory,default,machine_drive,electricity,0.47,,,published_sec,"[MECS2022_T52] MECS 2022 Table 5.2, NAICS 333: machine drive 31 TBtu of ~66 TBtu allocated net electricity (values transcribed from fetched PDF; ~10 TBtu withheld cells excluded before normalising). Sector-level US proxy, hence medium confidence.",medium
Factory,default,other_process,electricity,0.04,,,published_sec,[MECS2022_T52] NAICS 333 other process use 3/66.,medium
Factory,default,process_cooling,electricity,0.05,,,published_sec,[MECS2022_T52] NAICS 333 process cooling 3/66.,medium
Factory,default,process_heating,electricity,0.06,,,published_sec,[MECS2022_T52] NAICS 333 process heating electricity 4/66.,medium
Factory,default,site_services,electricity,0.38,,,published_sec,[MECS2022_T52] NAICS 333 facility HVAC 15 + lighting 7 + other facility support 3 = 25/66.,medium
Factory,default,other_process,gas,0.07,,,published_sec,"[MECS2022_T52] NAICS 333 machine drive gas 3 + other process 1 = 4/55, pooled as other process uses.",medium
Factory,default,process_heating,gas,0.36,,,published_sec,"[MECS2022_T52] NAICS 333 natural gas: process heating 20 of ~55 TBtu allocated (total 60, withheld cells excluded).",medium
Factory,default,site_services,gas,0.02,,,published_sec,[MECS2022_T52] NAICS 333 other facility support gas 1/55.,medium
Factory,default,space_heating,gas,0.46,,,published_sec,[MECS2022_T52] NAICS 333 facility HVAC gas 25/55.,medium
Factory,default,steam_hot_water,gas,0.09,,,published_sec,[MECS2022_T52] NAICS 333 indirect boiler+CHP gas 5/55.,medium
Flour Mill,default,compressed_air,electricity,0.04,,,engineering,Filter pulsing and actuation; small utility share,low
Flour Mill,default,flour_packing_handling,electricity,0.07,,,engineering,Packing and outloading; rated-equipment logic,low
Flour Mill,default,grinding_roller_mills,electricity,0.4,,,engineering,[ALIU2018] Roller mills identified as largest consumer in a published mill energy audit (abstract level); ~75% of mill electricity is motors overall (WORLDGRAIN2010),medium
Flour Mill,default,pneumatic_conveying_aspiration,electricity,0.25,0.23,0.28,published_sec,[BUHLER_MILL] High-pressure fan 23-28% of mill section energy (Bühler article),medium
Flour Mill,default,sifting_purification,electricity,0.1,,,engineering,Plansifter/purifier drives; rated-equipment logic,low
Flour Mill,default,site_services,electricity,0.06,,,engineering,Lighting and offices,low
Flour Mill,default,wheat_cleaning_conditioning,electricity,0.08,,,engineering,Cleaning house machinery; rated-equipment logic,low
Flour Mill,default,site_services,gas,1.0,,,engineering,Flour milling is an essentially all-electric process (no thermal unit operation); any metered gas is space heating/amenity hot water,low
Food Processing Centre,default,compressed_air,electricity,0.1,,,engineering,"[DECC2015FD] Scaled from compressed air 2% of total sector energy (Section 1.3, p11)",medium
Food Processing Centre,default,machinery_motors,electricity,0.45,,,engineering,"[DECC2015FD] Motors:refrigeration:compressed air = 12:5:2 of sector energy (Section 1.3, p11) scaled to the electricity vector with a lighting/site residual",medium
Food Processing Centre,default,refrigeration,electricity,0.25,0.15,0.5,engineering,"[DECC2015FD] Subsector refrigeration electricity shares range 25% (liquid milk) to 50%+ (meat, ready meals) (Section 3.2.7, p35); 0.25 taken as generic mixed-site value",medium
Food Processing Centre,default,site_services,electricity,0.2,,,engineering,"[DECC2015FD] Residual for lighting, HVAC, offices; document level",medium
Food Processing Centre,default,boiler_steam_hot_water,gas,0.62,,,engineering,"[DECC2015FD] Gas is ~2/3 of sector fuel and boilers:direct heating = 54:27 (Section 1.3, p11); gas allocated pro-rata to the two heat technologies plus a small space-heat allowance",medium
Food Processing Centre,default,direct_heating,gas,0.31,,,engineering,"[DECC2015FD] Pro-rata from boilers:direct heating = 54:27 (Section 1.3, p11)",medium
Food Processing Centre,default,site_services,gas,0.07,,,engineering,[DECC2015FD] Residual allowance for gas space heating of buildings; document level,medium
Food Processing Centre,default,boiler_steam_hot_water,oil,0.85,,,engineering,[DECC2015FD] Oil in food sites is overwhelmingly a boiler/backup boiler fuel (minor oil use noted at document level); direct oil firing of food is rare,low
Food Processing Centre,default,site_services,oil,0.15,,,engineering,Allowance for oil-fired space heating at off-gas-grid sites,low
Foundry,default,melting_holding,coal,1.0,,,engineering,[SF_BREF2024] Document level: cupola foundry coke (classed under the solid-fuel/coal vector) is consumed entirely in the melting furnace.,medium
Foundry,default,fettling_finishing,electricity,0.06,,,published_sec,[EPPICH2004] Cleaning/processing 14.5% at one facility (Exhibit 3.36); conservative central value.,medium
Foundry,default,fume_extraction,electricity,0.12,,,published_sec,"[EPPICH2004] Dust collection/emission systems 15-17% where measured (Exhibits 3.7, 3.41); slightly moderated as not all foundries have full extraction. Source band (0.15-0.17) retained in note only; central value moderated below it, so bounds omitted.",medium
Foundry,default,melting_holding,electricity,0.5,0.28,0.51,published_sec,"[EPPICH2004] Melting furnaces 47-51% of electricity at induction/arc facilities, 28.3% at the stainless facility (Exhibits 3.7, 3.36, 3.41, 3.46); central value taken for electric-melting foundries. US, 2003 data.",medium
Foundry,default,mould_making,electricity,0.1,,,published_sec,[EPPICH2004] Muller/moulding equipment 14% of electricity at the steel arc facility (Exhibit 3.41); moderated across facility types.,medium
Foundry,default,shakeout_sand_reclamation,electricity,0.04,,,published_sec,[EPPICH2004] Shakeout/cooling 8% of electricity at the steel arc facility (Exhibit 3.41); moderated.,medium
Foundry,default,site_services,electricity,0.18,0.13,0.29,published_sec,"[EPPICH2004] Compressed air 13-27% plus lighting/HVAC across audited facilities (Exhibits 3.7, 3.36, 3.46).",medium
Foundry,default,core_making,gas,0.05,,,published_sec,[EPPICH2004] Core ovens within the ~22% 'core ovens/unit heaters' gas block at the steel arc facility (Exhibit 3.43).,medium
Foundry,default,heat_treatment,gas,0.25,0.13,0.51,published_sec,"[EPPICH2004] Heat treating 13% (Exhibit 3.22) to 50.7% (annealing, Exhibit 3.43) of gas across audited facilities.",medium
Foundry,default,melting_holding,gas,0.35,0.3,0.74,published_sec,"[EPPICH2004] Melting-department gas 35% (ductile cupola, Exhibit 3.22), 68% (gray iron cupola, Exhibit 3.11), 74% incl. ladle preheat (pipe plant, Exhibit 3.26); ladle preheat 44.8% at stainless (Exhibit 3.38). Central value for mixed UK stock where much melting is electric.",medium
Foundry,default,shakeout_sand_reclamation,gas,0.05,,,published_sec,[EPPICH2004] Thermal sand reclaimer 16.9% of gas at the steel arc facility (Exhibit 3.43); moderated since many foundries lack thermal reclamation.,medium
Foundry,default,site_services,gas,0.3,0.26,0.48,published_sec,"[EPPICH2004] Plant heating 32% (Exhibit 3.11), 48% (Exhibit 3.22) of gas; makeup air 16.6% (Exhibit 3.38).",medium
Industrial Minerals NEC,default,kiln_calcination,biomass,1.0,,,published_sec,"[EULA_ECOFYS_2014] Biomass is 7% of the EU lime fuel mix (Figure 11, p.29), co-fired in kilns.",medium
Industrial Minerals NEC,default,kiln_calcination,coal,1.0,,,published_sec,"[EULA_ECOFYS_2014] p.29: 'By far the majority of the energy consumption... is heat required in the kiln'; solid fossil fuels are 51% of the EU lime fuel mix (Figure 11, p.29), all fired in kilns.",medium
Industrial Minerals NEC,default,hydration,electricity,0.12,,,engineering,"[EULA_ECOFYS_2014] Midpoint of BREF range 'hydrating 5-30 kWh/tonne' (p.30), pro-rated for hydrate being a fraction of output.",medium
Industrial Minerals NEC,default,kiln_calcination,electricity,0.3,,,engineering,"[EULA_ECOFYS_2014] Midpoint of BREF range 'Kiln 5-50 kWh/tonne' (p.30) against ~60 kWh/t site total: kiln fans, charging and drives.",medium
Industrial Minerals NEC,default,lime_grinding_milling,electricity,0.25,,,engineering,[EULA_ECOFYS_2014] Midpoint of BREF range 'grinding: 4-40 kWh/tonne' (p.30) against ~60 kWh/t site total.,medium
Industrial Minerals NEC,default,packing_dispatch,electricity,0.05,,,engineering,"Silo aeration, packers, pneumatic loadout; rated-equipment logic.",medium
Industrial Minerals NEC,default,quarrying_crushing_screening,electricity,0.18,,,engineering,"[EULA_ECOFYS_2014] Total electricity ~60 kWh/t (~5% of total energy, p.30). Crushing/sieving is not separately quantified there; share estimated from crusher/screen ratings relative to the p.30 BREF ranges (kiln 5-50, hydrating 5-30, grinding 4-40 kWh/t).",medium
Industrial Minerals NEC,default,site_services,electricity,0.1,,,engineering,"Compressed air, lighting, offices; typical auxiliary allowance.",medium
Industrial Minerals NEC,default,kiln_calcination,gas,1.0,,,published_sec,"[EULA_ECOFYS_2014] Natural gas is 34% of the EU lime fuel mix (Figure 11, p.29), used as kiln fuel; same p.29 statement.",medium
Industrial Minerals NEC,default,kiln_calcination,oil,1.0,,,engineering,"[EULA_ECOFYS_2014] Oil, where used, is a kiln fuel; consistent with p.29 statement that kiln heat is by far the majority of energy use.",medium
Industrial Minerals NEC,default,kiln_calcination,other,1.0,,,published_sec,"[EULA_ECOFYS_2014] Waste fuels are 8% of the EU lime fuel mix (Figure 11, p.29), fired in kilns.",medium
Industrial NEC,default,machine_drive,electricity,0.47,,,fallback,[MECS2022_T52] Borrowed from sibling activity 'Factory' (MECS NAICS 333 split).,low
Industrial NEC,default,other_process,electricity,0.04,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
Industrial NEC,default,process_cooling,electricity,0.05,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
Industrial NEC,default,process_heating,electricity,0.06,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
Industrial NEC,default,site_services,electricity,0.38,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
Industrial NEC,default,other_process,gas,0.07,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
Industrial NEC,default,process_heating,gas,0.36,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
Industrial NEC,default,site_services,gas,0.02,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
Industrial NEC,default,space_heating,gas,0.46,,,fallback,[MECS2022_T52] Borrowed from 'Factory'; smaller NEC industrial units are likely even more heating-dominated (cf. CTV059 p.8).,low
Industrial NEC,default,steam_hot_water,gas,0.09,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
Iron and/or Steel Works,bf_bof,blast_furnace_ironmaking,coal,0.25,0.2,0.3,engineering,"[STUBBLES2000] Pulverised coal injection at tuyeres (avg 220 lb/NTHM, 3.75 MBtu/NTHM in Stubbles good practice).",medium
Iron and/or Steel Works,bf_bof,coke_ovens,coal,0.75,0.7,0.8,engineering,[STUBBLES2000] From Stubbles ratios: coke to BF 8.45 MBtu/NTHM (plus coal energy leaving as by-product gases) vs tuyere injectant coal 3.75 MBtu/NTHM — coking coal roughly three-quarters of purchased coal energy.,medium
Iron and/or Steel Works,bf_bof,blast_furnace_ironmaking,electricity,0.12,,,engineering,"[IS_BREF2013] Document level: BF blowers, PCI mills and cooling-water pumps; rated-equipment logic.",medium
Iron and/or Steel Works,bf_bof,bof_steelmaking,electricity,0.13,,,engineering,[STUBBLES2000] Includes oxygen plant (0.32 MBtu/t as oxygen) and BOF shop electricity 0.26 MBtu/t cast product in Stubbles itemisation.,medium
Iron and/or Steel Works,bf_bof,coke_ovens,electricity,0.05,,,engineering,"[IS_BREF2013] Document level: oven machines, exhausters and by-product plant; small relative to mills.",medium
Iron and/or Steel Works,bf_bof,continuous_casting,electricity,0.05,,,engineering,[STUBBLES2000] Caster 0.15 MBtu/t cast product in Stubbles itemisation.,medium
Iron and/or Steel Works,bf_bof,hot_rolling,electricity,0.35,,,engineering,"[STUBBLES2000] Rolling (esp. cold rolling, 4.2 MBtu/ton electricity) is the largest electricity end use in integrated works.",medium
Iron and/or Steel Works,bf_bof,secondary_metallurgy,electricity,0.05,,,engineering,[STUBBLES2000] Ladle furnace arcing and degasser vacuum systems; rated-equipment logic.,medium
Iron and/or Steel Works,bf_bof,sinter_plant,electricity,0.1,,,engineering,[IS_BREF2013] Document level: BREF identifies sinter strand main fans as major electricity consumers; share by rated-equipment logic.,medium
Iron and/or Steel Works,bf_bof,site_services,electricity,0.15,,,engineering,"[IS_BREF2013] Document level: water treatment, compressed air, lighting and environmental plant across a very large site.",medium
Iron and/or Steel Works,bf_bof,blast_furnace_ironmaking,gas,0.15,,,engineering,[STUBBLES2000] Natural gas tuyere injection 40-200 lb/NTHM cited by Stubbles as an alternative injectant.,medium
Iron and/or Steel Works,bf_bof,reheat_furnaces,gas,0.55,,,engineering,[STUBBLES2000] Purchased natural gas mainly supplements works gases in reheating/annealing (reheating identified as the main natural-gas process; hot rolling 2.2 MBtu/ton).,medium
Iron and/or Steel Works,bf_bof,secondary_metallurgy,gas,0.1,,,engineering,[STUBBLES2000] Ladle preheating and ladle-furnace gas identified in BOF shop energy itemisation; rated-equipment logic.,medium
Iron and/or Steel Works,bf_bof,site_services,gas,0.2,,,engineering,"[DECC2015_IS] Natural gas only 9.7% of UK sector energy (Figure 8, 2012); a material part of that serves space heating/utilities across very large works — engineering allocation.",medium
Iron and/or Steel Works,eaf,eaf_melting,coal,1.0,,,engineering,"[WSA_ENERGY] worldsteel Table 1: coal is 5-15% of EAF route inputs, used as charge/injection carbon entirely in the furnace.",medium
Iron and/or Steel Works,eaf,continuous_casting,electricity,0.03,,,engineering,"[STUBBLES2000] Caster drives/pumps small relative to furnace; part of Stubbles auxiliary block, split out by rated-equipment logic.",medium
Iron and/or Steel Works,eaf,eaf_melting,electricity,0.6,0.55,0.68,engineering,"[STUBBLES2000] Derived from Stubbles: ~500 kWh/t EAF vs ~100 kWh/t auxiliaries plus mill-drive and services loads; document figures seen (EAF section, 5.65 MBtu/ton tapped).",medium
Iron and/or Steel Works,eaf,fume_extraction_auxiliaries,electricity,0.1,,,engineering,"[STUBBLES2000] Stubbles: ~100 kWh/t auxiliary electricity for baghouses, cranes, caster, ladle heating (EAF section).",medium
Iron and/or Steel Works,eaf,hot_rolling_mill,electricity,0.14,,,engineering,[STUBBLES2000] Long-product mill drives ~80-120 kWh/t against ~750 kWh/t site total; consistent with Stubbles long-product shipment energy 9.94 MBtu/ton.,medium
Iron and/or Steel Works,eaf,scrap_handling_preparation,electricity,0.02,,,engineering,"[STUBBLES2000] Cranes/magnets minor; rated-equipment logic, document level.",medium
Iron and/or Steel Works,eaf,secondary_metallurgy,electricity,0.05,,,engineering,[STUBBLES2000] Ladle furnace arcing typically 30-50 kWh/t; rated-equipment logic against Stubbles totals.,medium
Iron and/or Steel Works,eaf,site_services,electricity,0.06,,,engineering,[STUBBLES2000] Residual after metered process loads; typical for heavy-industry sites.,medium
Iron and/or Steel Works,eaf,eaf_melting,gas,0.15,,,engineering,[STUBBLES2000] EAF oxy-gas burners 0.30 MBtu/ton tapped (EAF section).,medium
Iron and/or Steel Works,eaf,reheat_furnaces,gas,0.6,0.45,0.75,engineering,[STUBBLES2000] Stubbles: reheat 0.5-2.2 MBtu/ton vs EAF burner gas 0.30 MBtu/ton — reheating dominates site gas; range reflects hot-charging practice.,medium
Iron and/or Steel Works,eaf,secondary_metallurgy,gas,0.12,,,engineering,[EPPICH2004] Ladle preheating is a major gas user in electric melt shops (Eppich Exhibit 3.38: ladle preheat 44.8% of gas at a stainless melt shop); scaled down for a works with reheat furnaces.,medium
Iron and/or Steel Works,eaf,site_services,gas,0.13,,,engineering,"[EPPICH2004] Space heating of large melt-shop/mill buildings; analogous plant-heating gas shares of 16-48% seen in Eppich electric-melting facilities, moderated for a works with reheat furnaces.",medium
Laboratory,default,hvac_ventilation,electricity,0.6,0.56,0.75,engineering,[SLAB2011] Derived from Table 7 p16 by removing the heating (gas) share and renormalising: 45/80 (life science) to 60/80 (chemistry) of non-heating energy.,medium
Laboratory,default,lab_equipment,electricity,0.28,0.19,0.31,engineering,[SLAB2011] Derived from Table 7 p16 (15-25% of total energy) renormalised to the electricity vector.,medium
Laboratory,default,lighting,electricity,0.12,0.06,0.13,engineering,[SLAB2011] Derived from Table 7 p16 (5-10% of total energy) renormalised to the electricity vector.,medium
Laboratory,default,space_water_heating,gas,1.0,,,engineering,[SLAB2011] Table 7 p16: space/water heating (20% of total energy) is the fossil-fired end use; all metered gas assigned to it (includes AHU reheat).,medium
"Large industrial (> 20,000 m2) NEC",default,machine_drive,electricity,0.47,,,fallback,[MECS2022_T52] Borrowed from sibling activity 'Factory' (MECS NAICS 333 split) — activity is not-elsewhere-classified so no direct evidence can exist.,low
"Large industrial (> 20,000 m2) NEC",default,other_process,electricity,0.04,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
"Large industrial (> 20,000 m2) NEC",default,process_cooling,electricity,0.05,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
"Large industrial (> 20,000 m2) NEC",default,process_heating,electricity,0.06,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
"Large industrial (> 20,000 m2) NEC",default,site_services,electricity,0.38,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
"Large industrial (> 20,000 m2) NEC",default,other_process,gas,0.07,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
"Large industrial (> 20,000 m2) NEC",default,process_heating,gas,0.36,,,fallback,[MECS2022_T52] Borrowed from 'Factory' (MECS NAICS 333 gas split); consistent in direction with BESS2018 Chart 2.3 heat dominance of industrial process energy.,low
"Large industrial (> 20,000 m2) NEC",default,site_services,gas,0.02,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
"Large industrial (> 20,000 m2) NEC",default,space_heating,gas,0.46,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
"Large industrial (> 20,000 m2) NEC",default,steam_hot_water,gas,0.09,,,fallback,[MECS2022_T52] Borrowed from 'Factory'.,low
Maltings - Non Trad,default,kilning_heat,biomass,1.0,,,engineering,[MAGB_ENERGY] MAGB notes biomass adoption by member maltsters (document level); biomass at maltings serves kiln air heating,low
Maltings - Non Trad,default,germination_vessels,electricity,0.25,,,engineering,Continuous forced ventilation and turning of germination vessels; rated-equipment logic,low
Maltings - Non Trad,default,grain_handling_dressing,electricity,0.15,,,engineering,"Elevators, screens, conveying",low
Maltings - Non Trad,default,kiln_fans,electricity,0.35,,,engineering,"[MAGB_ENERGY] Kiln fans largest motor load (MAGB fan/VSD emphasis, document level)",low
Maltings - Non Trad,default,refrigeration_attemperation,electricity,0.1,,,engineering,Chilling of process air/water in warm periods,low
Maltings - Non Trad,default,site_services,electricity,0.1,,,engineering,"Lighting, offices, compressed air",low
Maltings - Non Trad,default,steeping,electricity,0.05,,,engineering,Aeration and pumping,low
Maltings - Non Trad,default,kilning_heat,gas,0.9,,,engineering,[EMH_KILN] Kilning heat (~800 kWh/t) is essentially the sole large fuel demand; modern plants recover kiln exhaust heat but it remains the gas sink,medium
Maltings - Non Trad,default,site_services,gas,0.1,,,engineering,Steep water warming and space heating allowance,medium
Maltings - Trad,default,floor_germination_turning,electricity,0.05,,,engineering,"Floor turning is largely manual/light mechanical — minimal load, unlike pneumatic plants",low
Maltings - Trad,default,grain_handling_dressing,electricity,0.2,,,engineering,"Elevators, screens and conveying; rated-equipment logic",low
Maltings - Trad,default,kiln_fans,electricity,0.4,,,engineering,[MAGB_ENERGY] Kiln fans are the largest motor load; MAGB highlights fan VSDs as the key electricity measure (document level),low
Maltings - Trad,default,site_services,electricity,0.2,,,engineering,Lighting (large floor areas) and offices,low
Maltings - Trad,default,steeping,electricity,0.15,,,engineering,"Aeration blowers, CO2 extraction and water pumping; rated-equipment logic",low
Maltings - Trad,default,kilning_heat,gas,0.9,,,engineering,[EMH_KILN] Kilning heat (~800 kWh/t malt) is essentially the only large fuel demand in malting; steeping and floor germination are ambient/unheated. Residual left for steep water and space heating,medium
Maltings - Trad,default,site_services,gas,0.1,,,engineering,Steep water warming and building space heating allowance,medium
Mill,default,milling_grinding,electricity,0.5,,,fallback,[MECS2022_T52] Borrowed from sibling activity 'Works' (NAICS 332 machine drive 0.48 plus 0.02 electro-chemical reassigned as not applicable to mills).,low
Mill,default,other_process,electricity,0.04,,,fallback,[MECS2022_T52] Borrowed from 'Works'.,low
Mill,default,process_cooling,electricity,0.02,,,fallback,[MECS2022_T52] Borrowed from 'Works'.,low
Mill,default,process_heating_drying,electricity,0.16,,,fallback,[MECS2022_T52] Borrowed from 'Works' process heating share.,low
Mill,default,site_services,electricity,0.28,,,fallback,[MECS2022_T52] Borrowed from 'Works'.,low
Mill,default,process_heating_drying,gas,0.64,,,fallback,[MECS2022_T52] Borrowed from 'Works' (NAICS 332) gas split; only applies to mills with gas-fired drying — for non-drying mills space heating will dominate instead.,low
Mill,default,site_services,gas,0.02,,,fallback,[MECS2022_T52] Borrowed from 'Works'.,low
Mill,default,space_heating,gas,0.15,,,fallback,[MECS2022_T52] Borrowed from 'Works'; likely an underestimate for legacy mill buildings without process drying.,low
Mill,default,steam_hot_water,gas,0.19,,,fallback,[MECS2022_T52] Borrowed from 'Works'.,low
Mineral Production - Brine,default,brine_well_pumping,electricity,0.25,,,engineering,[SALT_ASSOC] Engineering rationale: continuous high-volume injection and brine transfer pumping over km-scale brinefields is a principal motor load.,medium
Mineral Production - Brine,default,centrifuging,electricity,0.15,,,engineering,[SALT_ASSOC] Engineering rationale: centrifuge drives are significant but intermittent-duty loads.,medium
Mineral Production - Brine,default,drying_grading,electricity,0.1,,,engineering,[SALT_ASSOC] Engineering rationale: drier fans and grading/conveying drives.,medium
Mineral Production - Brine,default,site_services,electricity,0.15,,,engineering,"Engineering allowance for handling, packaging, compressed air, buildings; closes balance to 1.00.",medium
Mineral Production - Brine,default,vacuum_evaporation,electricity,0.35,,,engineering,[SALT_ASSOC] Engineering rationale: evaporator circulation pumps and vacuum plant run continuously on the largest circuits.,medium
Mineral Production - Brine,default,drying_grading,gas,0.1,,,engineering,"[SALT_ASSOC] Engineering rationale: fluid-bed drying removes only residual surface moisture after centrifuging, a small fraction of evaporator duty.",medium
Mineral Production - Brine,default,site_services,gas,0.05,,,engineering,Engineering allowance for space heating; closes balance to 1.00.,medium
Mineral Production - Brine,default,vacuum_evaporation,gas,0.85,,,engineering,"[SALT_ASSOC] Engineering rationale: raising steam for multiple-effect evaporation carries the latent-heat load of removing ~2-3 t water per t salt and dwarfs all other thermal duties; process description at document level, no published percentage located.",medium
Mineral Production - Coal,default,coal_preparation,electricity,0.55,,,engineering,[DOE_BAND] Exhibit 20 (p.27) values allocated to the electricity vector (grinding 194.8 of 352.0 TBtu/yr electric-type operations = 55%); allocation of exhibit categories to vectors is the engineering step.,medium
Mineral Production - Coal,default,crushing,electricity,0.04,,,engineering,[DOE_BAND] Exhibit 20: crushing 14.6 of 352.0 = 4%.,medium
Mineral Production - Coal,default,materials_handling_conveyors,electricity,0.13,,,engineering,[DOE_BAND] Exhibit 20: materials handling-electric 45.3 of 352.0 = 13%.,medium
Mineral Production - Coal,default,ventilation,electricity,0.28,,,engineering,[DOE_BAND] Exhibit 20: ventilation 97.3 of 352.0 = 28%. Zero for surface-only sites (the norm for remaining UK coal).,medium
Mineral Production - Coal,default,digging_loading,oil,0.24,,,engineering,[DOE_BAND] Exhibit 20: digging 26.4 of 110.8 = 24% (treated as diesel for surface operations).,medium
Mineral Production - Coal,default,drilling,oil,0.25,,,engineering,[DOE_BAND] Exhibit 20: drilling 27.7 of 110.8 = 25%.,medium
Mineral Production - Coal,default,haulage_mobile_plant,oil,0.51,,,engineering,"[DOE_BAND] Exhibit 20 diesel-type operations: materials handling-diesel 56.7 of 110.8 TBtu/yr = 51%; coal MH is 80% diesel (Section 3.2, pp.10-11).",medium
Mineral Production - Gas,default,gas_compression,gas,0.55,,,engineering,[NSTA_EMR] Engineering rationale: turbine-driven compression is the largest fuel-gas duty at gas terminals/production sites; consistent with NSTA finding that combustion for power/drive dominates upstream fuel use (Fig.3 p.8). No terminal-level process split is published (EMR 2024 aggregates combustion sources).,medium
Mineral Production - Gas,default,power_generation,gas,0.25,,,engineering,"[NSTA_EMR] Engineering allocation of remaining fuel gas to on-site generation, supported by power generation's dominance of upstream combustion (p.4, Fig.3 p.8).",medium
Mineral Production - Gas,default,process_heating_regeneration,gas,0.15,,,engineering,Engineering rationale: glycol/amine reboiler and fired-heater duties are material but well below compression/generation load.,medium
Mineral Production - Gas,default,site_services,gas,0.05,,,engineering,Engineering allowance for space heating/utilities; closes balance to 1.00.,medium
Mineral Production - Inert,default,crushing,electricity,0.84,,,fallback,"[DOE_STONE] Borrowed from sibling activity 'Mineral Production - Rock, Sand, Clay etc.' (Table 9-3 crushing share); MDPI_RA confirms plant electricity exists (1.23 kWh/t) but gives no equipment-level split.",low
