carb3_activity,process_set_id,set_name,is_default,process_id,process_name,is_optional,equipment_examples,provenance
Concrete batching plant,default,Ready-mixed concrete batching plant,TRUE,dust_extraction,Dust extraction,FALSE,silo filters; dust extractor,[LBNL_CONCRETE_2011] Dust extractor identified at 3% of plant electricity (p.10).
Concrete batching plant,default,Ready-mixed concrete batching plant,TRUE,mobile_plant_trucks,Yard mobile plant and truck fleet (site-fuelled),FALSE,wheel loaders; truck mixers (site diesel),"[LBNL_CONCRETE_2011] 40% of site diesel is light trucks (Table 3, p.10)."
Concrete batching plant,default,Ready-mixed concrete batching plant,TRUE,site_services,Site services,FALSE,office/lab heating; lighting; compressed air,"[LBNL_CONCRETE_2011] Building heat takes 24% of gas and 6% of diesel (Table 3, p.10)."
Creamery,default,Dairy processing site (liquid milk/cheese/powder mix),TRUE,heat_treatment_pasteurisation,"Milk reception, thermisation & pasteurisation/heat treatment",FALSE,plate heat exchangers; HTST pasteurisers; steam boiler,"[FOCUS_DAIRY] Reception/thermisation and pasteurisation are principal process-heat steps across dairy products (Table 1, p12)"
Creamery,default,Dairy processing site (liquid milk/cheese/powder mix),TRUE,evaporation_drying,Evaporation & spray drying (powder/concentrate),TRUE,falling-film evaporators; spray dryer,"[FOCUS_DAIRY] For milk powder, evaporation 45% + drying 51% of product energy (Table 1, p12, after Ramirez et al. 2004)"
Creamery,default,Dairy processing site (liquid milk/cheese/powder mix),TRUE,cip_hot_water,CIP & hot water,FALSE,CIP sets; hot water calorifiers,"[FOCUS_DAIRY] CIP is 9.5-26% of product energy across dairy products (Table 1, p12)"
Creamery,default,Dairy processing site (liquid milk/cheese/powder mix),TRUE,refrigeration,Refrigeration & cold storage,FALSE,ammonia/glycol chillers; cold stores,"[LBNL_DAIRY] Process cooling/freezing/cold storage = 31% of dairy industry electricity (Figure 4.3, pp23-24)"
Creamery,default,Dairy processing site (liquid milk/cheese/powder mix),TRUE,processing_machinery_pumping,"Processing machinery (separation, homogenisation, pumping, packaging)",FALSE,separators; homogenisers; pumps; filling lines,"[LBNL_DAIRY] Machine drive = 40% of dairy electricity (Figure 4.3, pp23-24)"
Creamery,default,Dairy processing site (liquid milk/cheese/powder mix),TRUE,compressed_air,Compressed air,FALSE,air compressors,"[FOCUS_DAIRY] 0.5-8% of product energy across dairy products (Table 1, p12)"
Creamery,default,Dairy processing site (liquid milk/cheese/powder mix),TRUE,site_services,"Site services (lighting, HVAC, offices)",FALSE,lighting; HVAC,"[LBNL_DAIRY] Facility lighting and HVAC = 18% of dairy electricity (Figure 4.3, pp23-24)"
Distillery,default,Malt whisky distillery (pot still),TRUE,milling_mashing,"Malt milling & mashing (hot liquor, mash conversion)",FALSE,malt mill; mash tun/lauter; hot liquor tank,[SE_H2_DIST] Mashing named as the secondary heat demand (p14)
Distillery,default,Malt whisky distillery (pot still),TRUE,distillation,Distillation (wash & spirit stills),FALSE,wash still; spirit still; steam coils/pans,[SE_H2_DIST] ~85% of heat demand at a distillery without maltings (p14); Briggs: ~90% of thermal energy in the still house
Distillery,default,Malt whisky distillery (pot still),TRUE,coproduct_evaporation,Co-product evaporation (pot ale),TRUE,pot ale evaporator,"[BRIGGS_DIST] By-product processing discussed as an energy user at some sites; not universal, hence optional"
Distillery,default,Malt whisky distillery (pot still),TRUE,process_pumps_motors,Process pumps & motors,FALSE,wort/wash pumps; agitators,[BALMENACH_CS] Case study lists electric pumps among main electricity uses
Distillery,default,Malt whisky distillery (pot still),TRUE,cooling_systems,"Cooling & condensing systems (cooling water pumps, cooling towers, yeast chilling)",FALSE,condenser water pumps; cooling tower fans; yeast refrigerators,[BALMENACH_CS] Yeast refrigerators and pumping listed as electricity uses
Distillery,default,Malt whisky distillery (pot still),TRUE,compressed_air,Compressed air,FALSE,air compressors,"Standard utility at distilleries (valve actuation, instrumentation)"
Distillery,default,Malt whisky distillery (pot still),TRUE,site_services,"Site services (lighting, space heating, warehousing, offices)",FALSE,lighting; warehouse services,[BALMENACH_CS] Lighting and space heating listed as electricity uses
Distillery,grain_distillery,Grain whisky distillery (continuous/Coffey still with dark grains plant),FALSE,grain_intake_milling,Grain intake & milling,FALSE,hammer mills; conveyors,Cereal (wheat/maize) intake replaces malt handling at grain sites
Distillery,grain_distillery,Grain whisky distillery (continuous/Coffey still with dark grains plant),FALSE,cooking_conversion,Cereal cooking & conversion,FALSE,pressure cookers; conversion vessels,Grain distilleries cook unmalted cereals with steam before conversion — a heat demand malt sites do not have
Distillery,grain_distillery,Grain whisky distillery (continuous/Coffey still with dark grains plant),FALSE,continuous_distillation,Continuous distillation (Coffey/column stills),FALSE,analyser column; rectifier column,[SE_H2_DIST] Distillation is the dominant heat user across the sector (p14)
Distillery,grain_distillery,Grain whisky distillery (continuous/Coffey still with dark grains plant),FALSE,coproduct_evaporation_drying,By-product evaporation & dark grains drying,FALSE,spent wash evaporators; rotary dark grains dryer; pelletiser,"[GOVSCOT_BYPROD] Dark grains produced by combining, drying and pelletising draff and pot ale syrup (document level); large grain sites operate integral dark grains plants"
Distillery,grain_distillery,Grain whisky distillery (continuous/Coffey still with dark grains plant),FALSE,site_services,Site services & utilities,FALSE,lighting; offices; compressed air,Standard site load
Effluent Minewater Treatment Plant,default,Minewater treatment scheme,TRUE,minewater_pumping,Minewater abstraction and transfer pumping,FALSE,borehole pumps; transfer pumps,"[COAL_AUTH] 2023-24 performance report: 81 schemes, capacity 231 billion litres/yr; electricity use rose because the Authority 'pumped 17% more mine water at our operational sites'."
Effluent Minewater Treatment Plant,default,Minewater treatment scheme,TRUE,aeration_treatment,Aeration and active treatment,TRUE,aeration blowers/cascades; mixers,[COAL_AUTH] Iron removal at Coal Authority schemes requires oxidation (aeration) ahead of settlement; many schemes use passive cascades so the powered share is small.
Effluent Minewater Treatment Plant,default,Minewater treatment scheme,TRUE,dosing_sludge_handling,Chemical dosing and sludge handling,TRUE,lime/polymer dosing pumps; sludge pumps,[COAL_AUTH] Active schemes dose alkali/polymer and handle ochre sludge; document-level inference from scheme operations.
Effluent Minewater Treatment Plant,default,Minewater treatment scheme,TRUE,site_services,Site services,FALSE,telemetry; lighting; kiosks,Minor ancillary load at largely unmanned schemes.
Exhaust and tyre centre,default,Fast-fit exhaust and tyre centre,TRUE,workshop_equipment,"Workshop equipment (lifts, compressed air, tyre machines, welding)",FALSE,vehicle lifts; air compressor; tyre changers; wheel balancers; MIG welder (exhaust fitting); impact wrenches,"[MIDAM_AUTOSHOP] Same equipment class as vehicle repair garages, with heavier compressed-air/impact-tool duty and occasional welding; borrowed from sibling activity."
Exhaust and tyre centre,default,Fast-fit exhaust and tyre centre,TRUE,site_services,"Site services (lighting, ventilation, cooling, office/ICT)",FALSE,bay lighting; extract fans; point-of-sale ICT,[MIDAM_AUTOSHOP] Borrowed from garage evidence.
Exhaust and tyre centre,default,Fast-fit exhaust and tyre centre,TRUE,space_heating,Space heating,FALSE,warm-air heaters,"[MIDAM_AUTOSHOP] Gas at fast-fit sites is effectively all space heating, as at garages."
Exhaust and tyre centre,default,Fast-fit exhaust and tyre centre,TRUE,water_heating,Hot water (welfare),TRUE,water heater,[MIDAM_AUTOSHOP] Borrowed from garage evidence.
Factory,default,Generic manufacturing/assembly plant,TRUE,machine_drive,"Machine drive (production machinery incl. compressed air, pumps, fans)",FALSE,CNC machines; assembly line motors; air compressors; pumps; conveyors,"[MECS2022_T52] Largest electricity end use in MECS NAICS 333 (machinery), used as the generic discrete-manufacturing proxy; CTV059 p.15: motors consume ~a quarter of manufacturing site electricity."
Factory,default,Generic manufacturing/assembly plant,TRUE,process_heating,"Process heating (ovens, dryers, furnaces)",FALSE,curing ovens; dryers; furnaces; paint stoving,[MECS2022_T52] Principal direct gas process use in MECS NAICS 333.
Factory,default,Generic manufacturing/assembly plant,TRUE,process_cooling,Process cooling and refrigeration,TRUE,chillers; refrigerated dryers,[MECS2022_T52] Reported end use in MECS NAICS 333.
Factory,default,Generic manufacturing/assembly plant,TRUE,other_process,Other process uses,TRUE,test equipment; process ICT,[MECS2022_T52] Residual process category in MECS.
Factory,default,Generic manufacturing/assembly plant,TRUE,steam_hot_water,Boiler steam / hot water generation,TRUE,steam boiler; CHP unit,[MECS2022_T52] Indirect boiler/CHP fuel use reported in MECS NAICS 333.
Factory,default,Generic manufacturing/assembly plant,TRUE,site_services,"Site services (lighting, ventilation/cooling, offices, misc)",FALSE,lighting; AHUs; office ICT,[CTV059] Facility HVAC and lighting are major nonprocess end uses in MECS 333; CTV059 p.10 lighting >10% of electricity.
Factory,default,Generic manufacturing/assembly plant,TRUE,space_heating,Space heating,FALSE,gas warm-air heaters; radiant heaters,[CTV059] Facility HVAC gas is the largest single gas end use in MECS NAICS 333; CTV059 p.8 space heating 11% of all manufacturing energy.
Flour Mill,default,Roller flour mill,TRUE,wheat_cleaning_conditioning,Wheat cleaning & conditioning/tempering,FALSE,separators; destoners; tempering bins,Universal first mill section
Flour Mill,default,Roller flour mill,TRUE,grinding_roller_mills,Grinding (roller mills),FALSE,break rolls; reduction rolls,"[ALIU2018] Roller mill machines consumed the most energy in the audited mill (32,078,200 MJ/yr, Mill A)"
Flour Mill,default,Roller flour mill,TRUE,pneumatic_conveying_aspiration,Pneumatic conveying & aspiration,FALSE,high-pressure fans; cyclones; filters,"[BUHLER_MILL] 'In a typical mill section, the high-pressure fan is responsible for between 23 to 28 percent of total energy consumption'"
Flour Mill,default,Roller flour mill,TRUE,sifting_purification,Sifting & purification,FALSE,plansifters; purifiers,Universal mill section
Flour Mill,default,Roller flour mill,TRUE,flour_packing_handling,"Flour blending, packing & handling",FALSE,blending bins; packers; bulk outloading,Universal finished-product section
Flour Mill,default,Roller flour mill,TRUE,compressed_air,Compressed air,FALSE,air compressors,Used for filter cleaning and actuation
Flour Mill,default,Roller flour mill,TRUE,site_services,"Site services (lighting, offices, space heating)",FALSE,lighting; offices; gas space heaters,Standard site load; flour mills have little other fuel demand
Food Processing Centre,default,Generic mixed food processing site,TRUE,boiler_steam_hot_water,"Boiler steam & hot water (cooking, pasteurising, blanching, washdown)",FALSE,shell steam boiler; hot water calorifier; jacketed cooking vessels,"[DECC2015FD] Boilers are 54% of sector energy technology share (Section 1.3, p11)"
Food Processing Centre,default,Generic mixed food processing site,TRUE,direct_heating,"Direct-fired heating (ovens, fryers, dryers)",FALSE,gas-fired oven; fryer; spray/rotary dryer,"[DECC2015FD] Direct heating is 27% of sector energy technology share (Section 1.3, p11)"
Food Processing Centre,default,Generic mixed food processing site,TRUE,refrigeration,Refrigeration & cold storage,FALSE,ammonia refrigeration plant; chill/freezer stores,"[DECC2015FD] Refrigeration listed as key technology (5% of sector energy); subsector electricity shares 25-85% (Section 3.2.7, p35)"
Food Processing Centre,default,Generic mixed food processing site,TRUE,machinery_motors,"Process machinery & motors (mixing, pumping, conveying, packing)",FALSE,mixers; pumps; conveyors; packaging lines,"[DECC2015FD] Motors are 12% of sector energy technology share (Section 1.3, p11)"
Food Processing Centre,default,Generic mixed food processing site,TRUE,compressed_air,Compressed air,FALSE,rotary screw compressors,"[DECC2015FD] Compressed air is 2% of sector energy technology share (Section 1.3, p11)"
Food Processing Centre,default,Generic mixed food processing site,TRUE,site_services,"Site services (lighting, HVAC, offices, space heating)",FALSE,lighting; office HVAC; space heaters,Standard non-process site load at any factory
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,charge_handling,Charge/scrap handling and preparation,FALSE,charge cranes; weigh hoppers,[SF_BREF2024] Raw material handling within BREF foundry scope.
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,melting_holding,Melting and holding (incl. ladle preheating),FALSE,induction furnace; cupola; gas crucible/reverberatory furnace; holding furnaces; ladle preheaters,"[DOE_AMT2005] Melting is the most energy-intensive foundry operation, ~55% of total foundry energy (Exhibit 4)."
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,mould_making,Mould making and sand plant,FALSE,sand mullers/mixers; moulding machines,[EPPICH2004] Muller equipment 14% of electricity at the steel arc facility (Exhibit 3.41).
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,core_making,Core making and core drying,FALSE,core shooters; gas-fired core ovens,[EPPICH2004] Core ovens appear in gas allocation at the steel arc facility (Exhibit 3.43).
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,pouring_casting,Pouring and casting,FALSE,pouring ladles; automatic pouring units,[SF_BREF2024] Casting of molten metal into moulds is a defined BREF foundry stage.
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,shakeout_sand_reclamation,"Shakeout, cooling and sand reclamation",FALSE,shakeout decks; thermal/mechanical sand reclaimers,"[EPPICH2004] Shakeout/cooling 8% of electricity and sand reclaimer 16.9% of gas at the steel arc facility (Exhibits 3.41, 3.43)."
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,heat_treatment,Heat treatment / annealing,TRUE,gas-fired annealing furnaces; quench tanks,[EPPICH2004] Annealing 50.7% of gas at the steel arc facility; ~94% of gas at the steel induction airset facility (Exhibit 3.43; p.37).
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,fettling_finishing,Fettling and finishing,FALSE,grinders; shot-blast machines; cut-off saws,[EPPICH2004] Cleaning/processing 14.5% of electricity at the stainless facility (Exhibit 3.36).
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,fume_extraction,Fume extraction and dust collection,FALSE,baghouse fans; scrubbers,"[EPPICH2004] Dust collection 15-17% of electricity at cupola and arc facilities (Exhibits 3.7, 3.41)."
Foundry,default,Generic ferrous/non-ferrous foundry,TRUE,site_services,"Site services (compressed air, lighting, space heating, offices)",FALSE,air compressors; makeup-air units; lighting,[EPPICH2004] Compressed air alone 13-29% of electricity and plant heating 26-48% of gas across audited facilities.
Industrial Minerals NEC,default,Lime works archetype (quicklime/hydrated lime),TRUE,quarrying_crushing_screening,"Quarrying, crushing and sieving of limestone",FALSE,primary crushers; screens; stone conveyors,"[EULA_ECOFYS_2014] Crushing/sieving stage (Section 3, Figure 4; p.13: fragments over 1 m reduced to kiln grain size)."
Industrial Minerals NEC,default,Lime works archetype (quicklime/hydrated lime),TRUE,kiln_calcination,Kiln calcination (lime burning),FALSE,parallel flow regenerative kiln (PFRK); other shaft kilns; rotary kiln; kiln fans,"[EULA_ECOFYS_2014] Calcination at 900-1200 degC (p.13); thermal SEC 3.2-4.2 GJ/t (PFRK) to 6.0-9.2 GJ/t (rotary), average 4.25 GJ/t quicklime (pp.27-28)."
Industrial Minerals NEC,default,Lime works archetype (quicklime/hydrated lime),TRUE,lime_grinding_milling,Lime processing and grinding,FALSE,lime mills; classifiers; screens,"[EULA_ECOFYS_2014] 'Kiln downstream' separation and grinding of run-of-kiln lime (Section 3); grinding 4-40 kWh/t (p.30, citing BREF)."
Industrial Minerals NEC,default,Lime works archetype (quicklime/hydrated lime),TRUE,hydration,Hydration (slaking) plant,TRUE,hydrators; hydrate classifiers/mills,[EULA_ECOFYS_2014] Optional hydrated lime production (Section 3); hydrating 5-30 kWh/t (p.30).
Industrial Minerals NEC,default,Lime works archetype (quicklime/hydrated lime),TRUE,packing_dispatch,"Storage, packing and dispatch",FALSE,silos; packers; pneumatic loadout,[EULA_ECOFYS_2014] Downstream product handling stage of the lime process chain.
Industrial Minerals NEC,default,Lime works archetype (quicklime/hydrated lime),TRUE,site_services,Site services,FALSE,compressed air; lighting; offices,Standard auxiliary loads.
Industrial NEC,default,Generic industrial site (NEC),TRUE,machine_drive,"Machine drive (production machinery, compressed air, pumps, fans)",FALSE,motors; compressors; pumps; fans,[MECS2022_T52] Borrowed from sibling 'Factory'; CTV059 p.15: motors ~25% of manufacturing site electricity.
Industrial NEC,default,Generic industrial site (NEC),TRUE,process_heating,Process heating,TRUE,ovens; dryers,[BESS2018] Heat processes dominate UK industrial process energy (BESS2018 Chart 2.3).
Industrial NEC,default,Generic industrial site (NEC),TRUE,process_cooling,Process cooling,TRUE,chillers,[MECS2022_T52] Carried over from Factory structure.
Industrial NEC,default,Generic industrial site (NEC),TRUE,other_process,Other process uses,TRUE,site-specific plant,[MECS2022_T52] Residual category.
Industrial NEC,default,Generic industrial site (NEC),TRUE,steam_hot_water,Boiler steam / hot water generation,TRUE,boilers,[MECS2022_T52] Carried over from Factory structure.
Industrial NEC,default,Generic industrial site (NEC),TRUE,site_services,"Site services (lighting, HVAC, offices)",FALSE,lighting; ventilation; offices,[CTV059] Universal building services.
Industrial NEC,default,Generic industrial site (NEC),TRUE,space_heating,Space heating,FALSE,warm-air heaters,"[CTV059] CTV059 p.8: space heating 11% of manufacturing energy, >45% in some sub-sectors."
Iron and/or Steel Works,bf_bof,Integrated BF-BOF steelworks (Scunthorpe-type),FALSE,coke_ovens,On-site coke ovens,TRUE,coke oven battery; by-product plant,[DECC2015_IS] Coke making listed in Section 3.2.3; optional here because CaRB3 may class coking as the separate 'Coking and Carbonising Plant' activity.
Iron and/or Steel Works,bf_bof,Integrated BF-BOF steelworks (Scunthorpe-type),FALSE,sinter_plant,Sinter plant,TRUE,sinter strand; ignition hood; main exhaust fans,[DECC2015_IS] Sintering listed in Section 3.2.3; Figure 7 gives sintering 0.4-0.7 tCO2/t hot rolled coil.
Iron and/or Steel Works,bf_bof,Integrated BF-BOF steelworks (Scunthorpe-type),FALSE,blast_furnace_ironmaking,Blast furnace ironmaking incl. hot blast stoves and coal injection,FALSE,blast furnace; hot blast stoves; PCI plant; blowers,"[DECC2015_IS] Iron making is the largest emissions stage (Figure 7, 1.1-1.8 tCO2/t HRC)."
Iron and/or Steel Works,bf_bof,Integrated BF-BOF steelworks (Scunthorpe-type),FALSE,bof_steelmaking,BOF steelmaking incl. oxygen plant,FALSE,basic oxygen converter; air separation unit,[STUBBLES2000] Stubbles itemises BOF inputs incl. oxygen (0.32 MBtu/t) and electricity (0.26 MBtu/t).
Iron and/or Steel Works,bf_bof,Integrated BF-BOF steelworks (Scunthorpe-type),FALSE,secondary_metallurgy,Secondary metallurgy and ladle preheating,FALSE,ladle furnace; degasser; ladle preheaters,[DECC2015_IS] Secondary steelmaking after tapping described in Section 3.2.3.
Iron and/or Steel Works,bf_bof,Integrated BF-BOF steelworks (Scunthorpe-type),FALSE,continuous_casting,Continuous casting,FALSE,slab/bloom caster,[STUBBLES2000] Caster energy itemised at 0.15 MBtu/t cast product.
Iron and/or Steel Works,bf_bof,Integrated BF-BOF steelworks (Scunthorpe-type),FALSE,reheat_furnaces,Reheating furnaces,FALSE,walking-beam furnaces,"[STUBBLES2000] Hot rolling reheat 2.2 MBtu/ton, natural gas fired with coke oven gas credit."
Iron and/or Steel Works,bf_bof,Integrated BF-BOF steelworks (Scunthorpe-type),FALSE,hot_rolling,"Hot rolling, cold rolling and finishing",FALSE,mill main drives; cold mill; coating lines,"[STUBBLES2000] Cold rolling 4.2 MBtu/ton, predominantly electricity; rolling listed in DECC Section 3.2.3."
Iron and/or Steel Works,bf_bof,Integrated BF-BOF steelworks (Scunthorpe-type),FALSE,site_services,Site services and utilities,FALSE,compressed air; water treatment; lighting; offices,Cross-cutting utilities at integrated works.
Iron and/or Steel Works,eaf,Electric arc furnace (scrap-based) steelworks,TRUE,scrap_handling_preparation,"Scrap reception, handling and charge preparation",FALSE,magnet cranes; scrap shears; charge buckets,[DECC2015_IS] DECC/BIS 2015 roadmap Section 3.2.3 lists scrap preparation as first step of the EAF route.
Iron and/or Steel Works,eaf,Electric arc furnace (scrap-based) steelworks,TRUE,eaf_melting,EAF scrap melting,FALSE,electric arc furnace; oxy-fuel burners; carbon/oxygen injection,[STUBBLES2000] Core unit operation of the EAF route; Stubbles gives ~500 kWh/t electricity plus natural gas and carbon inputs to the furnace.
Iron and/or Steel Works,eaf,Electric arc furnace (scrap-based) steelworks,TRUE,secondary_metallurgy,Secondary metallurgy / ladle furnace and ladle preheating,FALSE,ladle arc furnace; vacuum degasser; gas-fired ladle preheaters,[DECC2015_IS] Secondary steelmaking treatment after tapping described in Section 3.2.3 of the 2015 roadmap.
Iron and/or Steel Works,eaf,Electric arc furnace (scrap-based) steelworks,TRUE,fume_extraction_auxiliaries,"Fume extraction, baghouse and melt-shop auxiliaries",FALSE,baghouse fans; water cooling pumps; melt-shop cranes,"[STUBBLES2000] Stubbles allocates ~100 kWh/t of auxiliary electricity to baghouses, cranes, caster and ladle heating in EAF plants."
Iron and/or Steel Works,eaf,Electric arc furnace (scrap-based) steelworks,TRUE,continuous_casting,Continuous casting,FALSE,billet/bloom caster; tundish heaters,[DECC2015_IS] Casting listed as a primary stage in Section 3.2.3.
Iron and/or Steel Works,eaf,Electric arc furnace (scrap-based) steelworks,TRUE,reheat_furnaces,Reheating furnaces for rolling,FALSE,walking-beam reheat furnace; tunnel furnace,[STUBBLES2000] Stubbles: natural-gas reheating 0.5-2.2 MBtu/ton depending on hot-charging; the dominant gas use downstream of the melt shop.
Iron and/or Steel Works,eaf,Electric arc furnace (scrap-based) steelworks,TRUE,hot_rolling_mill,Hot rolling and finishing,FALSE,bar/rod/section mill drive motors; shears; straighteners,[DECC2015_IS] Rolling listed as a primary stage in Section 3.2.3; mill main drives are large electricity consumers.
Iron and/or Steel Works,eaf,Electric arc furnace (scrap-based) steelworks,TRUE,site_services,"Site services (compressed air, lighting, space heating, offices)",FALSE,air compressors; lighting; office HVAC,Standard cross-cutting services present at all steelworks.
Laboratory,default,Research laboratory building (S-Lab audit basis),TRUE,hvac_ventilation,"Ventilation, fume extract and cooling",FALSE,AHU supply/extract fans; fume cupboard extract; chillers,[SLAB2011] Table 7 p16: ventilation-related energy is 45% (life science) to 60% (chemistry) of total lab energy; LBNL357E also states ventilation dominates lab energy (p4).
Laboratory,default,Research laboratory building (S-Lab audit basis),TRUE,lab_equipment,Laboratory equipment and small power,FALSE,ULT freezers; incubators; autoclaves; analytical instruments; office IT,[SLAB2011] Table 7 p16: equipment and small power 15-25% of total energy.
Laboratory,default,Research laboratory building (S-Lab audit basis),TRUE,lighting,Lighting,FALSE,lab and circulation lighting,[SLAB2011] Table 7 p16: lighting 5-10% of total energy.
Laboratory,default,Research laboratory building (S-Lab audit basis),TRUE,space_water_heating,Space and water heating (incl. reheat),FALSE,gas boilers; AHU heating coils/reheat; domestic hot water,[SLAB2011] Table 7 p16: space/water heating 20% of total energy in both lab types.
"Large industrial (> 20,000 m2) NEC",default,Large generic industrial site,TRUE,machine_drive,"Machine drive (production machinery, compressed air, pumps, fans)",FALSE,production line motors; compressors; pumps; conveyors,[MECS2022_T52] Machine drive dominance borrowed from sibling 'Factory' (MECS NAICS 333); BESS2018 Chart 2.3: motors ~15% of UK industrial energy (a larger share of electricity).
"Large industrial (> 20,000 m2) NEC",default,Large generic industrial site,TRUE,process_heating,"Process heating (ovens, dryers, furnaces)",FALSE,ovens; dryers; furnaces,[BESS2018] BESS2018 Chart 2.3: low/high temperature processes and drying are ~59% of UK industrial process energy; specific mix unknown for NEC sites.
"Large industrial (> 20,000 m2) NEC",default,Large generic industrial site,TRUE,process_cooling,Process cooling,TRUE,chillers,[MECS2022_T52] Carried over from Factory structure.
"Large industrial (> 20,000 m2) NEC",default,Large generic industrial site,TRUE,other_process,Other process uses,TRUE,site-specific plant,[MECS2022_T52] Residual category.
"Large industrial (> 20,000 m2) NEC",default,Large generic industrial site,TRUE,steam_hot_water,Boiler steam / hot water generation,TRUE,steam boilers; CHP,[MECS2022_T52] Carried over from Factory structure; more likely present at large sites.
"Large industrial (> 20,000 m2) NEC",default,Large generic industrial site,TRUE,site_services,"Site services (lighting, HVAC, offices)",FALSE,high-bay lighting; AHUs; offices,[CTV059] Universal building services.
"Large industrial (> 20,000 m2) NEC",default,Large generic industrial site,TRUE,space_heating,Space heating,FALSE,warm-air heaters; radiant heaters,[CTV059] CTV059 p.8: space heating 11% of manufacturing energy on average.
Maltings - Non Trad,default,Modern pneumatic maltings (SGKV/tower),TRUE,steeping,"Steeping (water handling, aeration, CO2 extraction)",FALSE,steep vessels; aeration blowers,[MAGB_ENERGY] Core malting stage; document level
Maltings - Non Trad,default,Modern pneumatic maltings (SGKV/tower),TRUE,germination_vessels,"Germination vessels (fans, turners, humidification)",FALSE,germination vessel fans; turning machines; humidifiers,Pneumatic plants force-ventilate germinating grain continuously — a major fan load absent in floor maltings
Maltings - Non Trad,default,Modern pneumatic maltings (SGKV/tower),TRUE,kilning_heat,Kilning — air heating,FALSE,gas burners; indirect air heaters; heat recovery exchangers,[EMH_KILN] ~800 kWh/t heat to kiln malt — the dominant thermal operation
Maltings - Non Trad,default,Modern pneumatic maltings (SGKV/tower),TRUE,kiln_fans,Kiln fans,FALSE,main kiln fans,[MAGB_ENERGY] Fan VSDs cited as key measure; largest electrical load
Maltings - Non Trad,default,Modern pneumatic maltings (SGKV/tower),TRUE,refrigeration_attemperation,Refrigeration / air attemperation,TRUE,chillers for steep/germination air conditioning,Modern plants chill process air/water in warm weather to hold germination temperature
Maltings - Non Trad,default,Modern pneumatic maltings (SGKV/tower),TRUE,grain_handling_dressing,"Grain handling, screening & dressing",FALSE,elevators; screens; conveyors,Barley intake and malt dressing
Maltings - Non Trad,default,Modern pneumatic maltings (SGKV/tower),TRUE,site_services,Site services,FALSE,lighting; offices; compressed air,Standard site load
Maltings - Trad,default,Traditional floor maltings,TRUE,steeping,"Steeping (water handling, aeration, CO2 extraction)",FALSE,steep tanks; aeration blowers; pumps,[MAGB_ENERGY] Core malting stage; document level
Maltings - Trad,default,Traditional floor maltings,TRUE,floor_germination_turning,Floor germination & turning,FALSE,floor turners; ploughs,"Defining feature of traditional maltings — ambient floors, low mechanical input"
Maltings - Trad,default,Traditional floor maltings,TRUE,kilning_heat,Kilning — air heating,FALSE,gas-fired kiln air heaters; indirect heaters,[EMH_KILN] 'Industrial malting operations use ~800 kWh/t of energy to produce the heat required to kiln malt' — kilning is the dominant thermal operation
Maltings - Trad,default,Traditional floor maltings,TRUE,kiln_fans,Kiln fans,FALSE,main kiln fans,[MAGB_ENERGY] MAGB cites variable-speed fan drives among key historic efficiency measures — fans are the major electrical load
Maltings - Trad,default,Traditional floor maltings,TRUE,grain_handling_dressing,"Grain handling, screening & dressing",FALSE,elevators; screens; conveyors,Barley intake and malt dressing at all maltings
Maltings - Trad,default,Traditional floor maltings,TRUE,site_services,"Site services (lighting, offices, steep water heating, space heat)",FALSE,lighting; small hot water plant,Standard site load
Mill,default,Generic milling/grinding site,TRUE,milling_grinding,Milling/grinding machine drive (incl. dust extraction and compressed air),FALSE,mills; grinders; crushers; dust extraction fans; air compressors,[MECS2022_T52] Machine drive dominance carried over from sibling activity 'Works' (NAICS 332); milling/grinding is by definition machine-drive intensive.
Mill,default,Generic milling/grinding site,TRUE,process_heating_drying,Process heating / drying,TRUE,dryers; kilns,[MECS2022_T52] Present where milled product is dried; share borrowed from Works process-heating end use.
Mill,default,Generic milling/grinding site,TRUE,process_cooling,Process cooling,TRUE,chillers,[MECS2022_T52] Minor end use carried over from Works structure.
Mill,default,Generic milling/grinding site,TRUE,other_process,Other process uses,TRUE,screening; packing lines,[MECS2022_T52] Residual category carried over from Works.
Mill,default,Generic milling/grinding site,TRUE,steam_hot_water,Boiler steam / hot water,TRUE,steam boiler,[MECS2022_T52] Carried over from Works gas structure.
Mill,default,Generic milling/grinding site,TRUE,site_services,"Site services (lighting, ventilation, offices, misc)",FALSE,lighting; fans; offices,[CTV059] Universal building services.
Mill,default,Generic milling/grinding site,TRUE,space_heating,Space heating,FALSE,warm-air heaters,[CTV059] Many UK 'Mill' premises are legacy buildings where heating is material (CTV059 p.8).
Mineral Production - Brine,default,Solution mining brinefield with vacuum salt works,TRUE,brine_well_pumping,Solution mining / brine well pumping,FALSE,injection water pumps; brine transfer pumps,[SALT_ASSOC] Salt Association process description: water forced under pressure into salt deposits and brine pumped to surface.
